UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
aibin2 3 100 1670518084595 1670518084595 228 675 670 750 0 0
aibin2 3 100 1670518084600 1670518084600 228 676 670 750 0 0
aibin2 3 100 1670518084605 1670518084605 228 678 670 750 0 0
aibin2 3 100 1670518084611 1670518084610 228 678 670 750 0 0
aibin2 3 100 1670518084617 1670518084615 228 679 670 750 0 0
aibin2 3 100 1670518084622 1670518084620 228 681 670 750 0 0
aibin2 3 100 1670518084628 1670518084625 229 682 670 750 0 0
aibin2 3 100 1670518084633 1670518084630 229 682 670 750 0 0
aibin2 3 100 1670518084639 1670518084635 229 681 670 750 0 0
aibin2 3 100 1670518084645 1670518084645 229 683 670 750 0 0
aibin2 3 100 1670518084650 1670518084650 230 683 670 750 0 0
aibin2 3 100 1670518084655 1670518084655 230 683 670 750 0 0
aibin2 3 100 1670518084661 1670518084660 230 683 670 750 0 0
aibin2 3 100 1670518084667 1670518084665 230 684 670 750 0 0
aibin2 3 100 1670518084672 1670518084670 230 684 670 750 0 0
aibin2 3 100 1670518084678 1670518084675 231 684 670 750 0 0
aibin2 3 100 1670518084683 1670518084680 231 684 670 750 0 0
aibin2 3 100 1670518084690 1670518084690 231 685 670 750 0 0
aibin2 3 100 1670518084695 1670518084695 231 685 670 750 0 0
aibin2 3 100 1670518084701 1670518084700 230 685 670 750 0 0
aibin2 3 100 1670518084705 1670518084705 230 685 670 750 0 0
aibin2 3 100 1670518084711 1670518084710 229 685 670 730 0 0
aibin2 3 100 1670518084717 1670518084715 228 684 670 730 0 0
aibin2 3 100 1670518084722 1670518084720 227 684 660 740 0 0
aibin2 3 100 1670518084728 1670518084725 226 683 660 740 0 0
aibin2 3 100 1670518084733 1670518084730 226 683 670 730 0 0
aibin2 3 100 1670518084739 1670518084735 225 683 670 730 0 0
aibin2 3 100 1670518084745 1670518084745 224 683 670 730 0 0
aibin2 3 100 1670518084750 1670518084750 224 683 670 730 0 0
aibin2 3 100 1670518084755 1670518084755 223 682 670 730 0 0
aibin2 3 100 1670518084761 1670518084760 222 682 670 730 0 0
aibin2 3 100 1670518084767 1670518084765 222 682 670 730 0 0
aibin2 3 100 1670518084772 1670518084770 222 682 670 730 0 0
aibin2 3 100 1670518084778 1670518084775 221 682 670 730 0 0
aibin2 3 100 1670518084783 1670518084780 221 683 670 730 0 0
aibin2 3 100 1670518084789 1670518084785 221 683 670 730 0 0
aibin2 3 100 1670518084795 1670518084795 221 684 670 730 0 0
aibin2 3 100 1670518084800 1670518084800 220 685 670 730 0 0
aibin2 3 100 1670518084805 1670518084805 220 686 670 730 0 0
aibin2 3 100 1670518084811 1670518084810 220 686 670 730 0 0
aibin2 3 100 1670518084817 1670518084815 220 686 670 730 0 0
aibin2 3 100 1670518084822 1670518084820 219 687 670 730 0 0
aibin2 3 100 1670518084828 1670518084825 219 687 670 730 0 0
aibin2 3 100 1670518084833 1670518084830 219 688 670 730 0 0
aibin2 3 100 1670518084839 1670518084835 218 688 670 730 0 0
aibin2 3 100 1670518084845 1670518084845 218 688 670 730 0 0
aibin2 3 100 1670518084850 1670518084850 218 688 670 730 0 0
aibin2 3 100 1670518084855 1670518084855 218 688 670 730 0 0
aibin2 3 100 1670518084861 1670518084860 218 688 670 730 0 0
aibin2 3 100 1670518084867 1670518084865 218 688 670 730 0 0
aibin2 3 100 1670518084872 1670518084870 217 687 670 730 0 0
aibin2 3 100 1670518084878 1670518084875 217 687 670 730 0 0
aibin2 3 100 1670518084884 1670518084880 217 686 670 730 0 0
aibin2 3 100 1670518084889 1670518084885 217 686 670 730 0 0
aibin2 3 100 1670518084895 1670518084895 217 686 670 730 0 0
aibin2 3 100 1670518084900 1670518084900 217 685 670 730 0 0
aibin2 3 100 1670518084906 1670518084905 217 684 670 730 0 0
aibin2 3 100 1670518084911 1670518084910 217 684 670 730 0 0
aibin2 3 100 1670518084917 1670518084915 217 684 670 730 0 0
aibin2 3 100 1670518084922 1670518084920 217 683 670 730 0 0
aibin2 3 100 1670518084928 1670518084925 216 683 670 730 0 0
aibin2 3 100 1670518084933 1670518084930 216 682 660 740 0 0
aibin2 3 100 1670518084939 1670518084935 216 682 660 740 0 0
aibin2 3 100 1670518084945 1670518084945 216 682 670 730 0 0
aibin2 3 100 1670518084950 1670518084950 216 682 670 730 0 0
aibin2 3 100 1670518084955 1670518084955 216 681 670 730 0 0
aibin2 3 100 1670518084961 1670518084960 215 681 680 720 0 0
aibin2 3 100 1670518084967 1670518084965 215 681 690 710 0 0
aibin2 3 100 1670518084972 1670518084970 215 681 690 710 0 0
aibin2 3 100 1670518084978 1670518084975 215 681 700 700 0 0
aibin2 3 100 1670518084984 1670518084980 214 680 710 690 0 0
aibin2 3 100 1670518084989 1670518084985 214 680 710 690 0 0
aibin2 3 100 1670518084995 1670518084995 214 680 720 680 0 0
aibin2 3 100 1670518085000 1670518085000 213 680 720 680 0 0
aibin2 3 100 1670518085005 1670518085005 213 680 720 680 0 0
aibin2 3 100 1670518085011 1670518085010 213 680 730 670 0 0
aibin2 3 100 1670518085017 1670518085015 213 680 730 670 0 0
aibin2 3 100 1670518085022 1670518085020 213 680 730 670 0 0
aibin2 3 100 1670518085028 1670518085025 212 680 730 670 0 0
aibin2 3 100 1670518085033 1670518085030 212 680 730 670 0 0
aibin2 3 100 1670518085039 1670518085035 212 679 730 670 0 0
aibin2 3 100 1670518085045 1670518085045 212 679 730 670 0 0
aibin2 3 100 1670518085050 1670518085050 212 679 740 650 0 0
aibin2 3 100 1670518085055 1670518085055 212 679 740 650 0 0
aibin2 3 100 1670518085061 1670518085060 211 679 740 650 0 0
aibin2 3 100 1670518085067 1670518085065 211 679 740 650 0 0
aibin2 3 100 1670518085072 1670518085070 211 678 740 650 0 0
aibin2 3 100 1670518085078 1670518085075 211 678 740 650 0 0
aibin2 3 100 1670518085083 1670518085080 210 678 740 650 0 0
aibin2 3 100 1670518085089 1670518085085 210 678 740 650 0 0
aibin2 3 100 1670518085095 1670518085095 210 677 740 650 0 0
aibin2 3 100 1670518085100 1670518085100 209 677 740 640 0 0
aibin2 3 100 1670518085105 1670518085105 209 676 740 640 0 0
aibin2 3 100 1670518085111 1670518085110 209 676 740 640 0 0
aibin2 3 100 1670518085117 1670518085115 208 676 740 640 0 0
aibin2 3 100 1670518085122 1670518085120 208 675 740 640 0 0
aibin2 3 100 1670518085128 1670518085125 208 675 740 640 0 0
aibin2 3 100 1670518085133 1670518085130 208 674 740 640 0 0
aibin2 3 100 1670518085139 1670518085135 208 674 740 640 0 0
aibin2 3 100 1670518085145 1670518085145 207 673 740 640 0 0
aibin2 3 100 1670518085150 1670518085150 207 673 740 640 0 0
aibin2 3 100 1670518085155 1670518085155 207 672 740 640 0 0
aibin2 3 100 1670518085161 1670518085160 207 672 740 640 0 0
aibin2 3 100 1670518085167 1670518085165 207 672 740 650 0 0
aibin2 3 100 1670518085172 1670518085170 207 671 740 650 0 0
aibin2 3 100 1670518085178 1670518085175 207 671 740 650 0 0
aibin2 3 100 1670518085183 1670518085180 207 670 740 650 0 0
aibin2 3 100 1670518085189 1670518085185 207 669 740 650 0 0
aibin2 3 100 1670518085195 1670518085195 207 668 740 650 0 0
aibin2 3 100 1670518085200 1670518085200 207 667 740 650 0 0
aibin2 3 100 1670518085205 1670518085205 206 667 740 650 0 0
aibin2 3 100 1670518085211 1670518085210 206 666 740 650 0 0
aibin2 3 100 1670518085217 1670518085215 206 666 740 650 0 0
aibin2 3 100 1670518085222 1670518085220 206 666 740 650 0 0
aibin2 3 100 1670518085228 1670518085225 206 665 740 650 0 0
aibin2 3 100 1670518085233 1670518085230 205 665 740 650 0 0
aibin2 3 100 1670518085239 1670518085235 205 665 740 650 0 0
aibin2 3 100 1670518085245 1670518085245 205 665 740 690 0 0
aibin2 3 100 1670518085250 1670518085250 204 665 740 690 0 0
aibin2 3 100 1670518085255 1670518085255 204 665 740 690 0 0
aibin2 3 100 1670518085262 1670518085260 203 665 740 690 0 0
aibin2 3 100 1670518085267 1670518085265 203 664 740 690 0 0
aibin2 3 100 1670518085272 1670518085270 203 664 740 690 0 0
aibin2 3 100 1670518085278 1670518085275 203 664 730 700 0 0
aibin2 3 100 1670518085283 1670518085280 202 664 730 700 0 0
aibin2 3 100 1670518085290 1670518085290 202 664 730 700 0 0
aibin2 3 100 1670518085295 1670518085295 202 664 730 700 0 0
aibin2 3 100 1670518085300 1670518085300 201 664 730 700 0 0
aibin2 3 100 1670518085306 1670518085305 201 664 720 710 0 0
aibin2 3 100 1670518085311 1670518085310 201 664 720 710 0 0
aibin2 3 100 1670518085317 1670518085315 200 664 720 710 0 0
aibin2 3 100 1670518085322 1670518085320 200 664 720 710 0 0
aibin2 3 100 1670518085328 1670518085325 200 663 720 710 0 0
aibin2 3 100 1670518085333 1670518085330 200 663 710 720 0 0
