UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
aibin2 4 100 1670518505574 1670518505570 320 507 790 100 0 0
aibin2 4 100 1670518505581 1670518505580 320 508 790 100 0 0
aibin2 4 100 1670518505586 1670518505585 319 508 790 100 0 0
aibin2 4 100 1670518505592 1670518505590 318 508 790 100 0 0
aibin2 4 100 1670518505598 1670518505595 318 509 790 100 0 0
aibin2 4 100 1670518505603 1670518505600 318 509 790 150 0 0
aibin2 4 100 1670518505608 1670518505605 316 510 790 150 0 0
aibin2 4 100 1670518505614 1670518505610 315 510 790 150 0 0
aibin2 4 100 1670518505620 1670518505620 315 511 780 200 0 0
aibin2 4 100 1670518505625 1670518505625 315 513 780 200 0 0
aibin2 4 100 1670518505631 1670518505630 313 514 780 200 0 0
aibin2 4 100 1670518505636 1670518505635 313 516 780 200 0 0
aibin2 4 100 1670518505642 1670518505640 312 518 770 220 0 0
aibin2 4 100 1670518505648 1670518505645 311 519 770 220 0 0
aibin2 4 100 1670518505653 1670518505650 309 519 770 220 0 0
aibin2 4 100 1670518505658 1670518505655 309 520 770 220 0 0
aibin2 4 100 1670518505664 1670518505660 308 520 770 220 0 0
aibin2 4 100 1670518505670 1670518505670 306 520 770 220 0 0
aibin2 4 100 1670518505675 1670518505675 306 521 760 210 0 0
aibin2 4 100 1670518505681 1670518505680 304 521 760 210 0 0
aibin2 4 100 1670518505686 1670518505685 302 522 760 210 0 0
aibin2 4 100 1670518505692 1670518505690 301 522 760 210 0 0
aibin2 4 100 1670518505698 1670518505695 299 522 760 240 0 0
aibin2 4 100 1670518505703 1670518505700 298 522 760 240 0 0
aibin2 4 100 1670518505708 1670518505705 297 522 760 240 0 0
aibin2 4 100 1670518505714 1670518505710 296 522 760 240 0 0
aibin2 4 100 1670518505719 1670518505715 294 523 760 240 0 0
aibin2 4 100 1670518505725 1670518505725 293 524 760 210 0 0
aibin2 4 100 1670518505731 1670518505730 293 525 760 210 0 0
aibin2 4 100 1670518505736 1670518505735 292 525 760 210 0 0
aibin2 4 100 1670518505742 1670518505740 291 525 760 210 0 0
aibin2 4 100 1670518505748 1670518505745 291 526 760 210 0 0
aibin2 4 100 1670518505753 1670518505750 289 526 760 210 0 0
aibin2 4 100 1670518505758 1670518505755 287 527 760 170 0 0
aibin2 4 100 1670518505764 1670518505760 287 528 760 170 0 0
aibin2 4 100 1670518505770 1670518505770 284 529 770 180 0 0
aibin2 4 100 1670518505775 1670518505775 282 530 770 180 0 0
