UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
aibin3 2 100 1670517728759 1670517728755 228 636 630 940 0 0
aibin3 2 100 1670517728764 1670517728760 227 637 630 940 0 0
aibin3 2 100 1670517728770 1670517728770 226 638 630 920 0 0
aibin3 2 100 1670517728776 1670517728775 226 638 630 920 0 0
aibin3 2 100 1670517728781 1670517728780 226 640 620 900 0 0
aibin3 2 100 1670517728786 1670517728785 225 641 620 900 0 0
aibin3 2 100 1670517728792 1670517728790 225 643 620 900 0 0
aibin3 2 100 1670517728799 1670517728795 225 644 610 900 0 0
aibin3 2 100 1670517728803 1670517728800 225 645 610 900 0 0
aibin3 2 100 1670517728809 1670517728805 224 646 610 900 0 0
aibin3 2 100 1670517728814 1670517728810 224 646 610 880 0 0
aibin3 2 100 1670517728820 1670517728820 224 647 610 880 0 0
aibin3 2 100 1670517728826 1670517728825 224 647 610 880 0 0
aibin3 2 100 1670517728831 1670517728830 224 647 600 880 0 0
aibin3 2 100 1670517728836 1670517728835 224 647 600 870 0 0
aibin3 2 100 1670517728842 1670517728840 224 647 600 870 0 0
aibin3 2 100 1670517728848 1670517728845 224 647 600 870 0 0
aibin3 2 100 1670517728853 1670517728850 224 647 590 870 0 0
aibin3 2 100 1670517728859 1670517728855 224 647 590 870 0 0
aibin3 2 100 1670517728864 1670517728860 224 647 590 870 0 0
aibin3 2 100 1670517728870 1670517728870 225 647 590 870 0 0
aibin3 2 100 1670517728876 1670517728875 225 647 580 870 0 0
aibin3 2 100 1670517728881 1670517728880 226 646 580 850 0 0
aibin3 2 100 1670517728886 1670517728885 226 645 580 850 0 0
aibin3 2 100 1670517728892 1670517728890 227 645 580 850 0 0
aibin3 2 100 1670517728898 1670517728895 227 643 580 850 0 0
aibin3 2 100 1670517728903 1670517728900 228 643 580 850 0 0
aibin3 2 100 1670517728909 1670517728905 230 642 580 850 0 0
aibin3 2 100 1670517728914 1670517728910 231 641 580 850 0 0
aibin3 2 100 1670517728920 1670517728920 232 641 580 850 0 0
aibin3 2 100 1670517728926 1670517728925 234 640 570 840 0 0
aibin3 2 100 1670517728931 1670517728930 235 640 570 840 0 0
