UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
aibin3 0 100 1670516940987 1670516940985 182 644 710 690 0 0
aibin3 0 100 1670516940992 1670516940990 182 645 720 680 0 0
aibin3 0 100 1670516940998 1670516940995 182 647 720 680 0 0
aibin3 0 100 1670516941004 1670516941000 182 647 720 680 0 0
aibin3 0 100 1670516941009 1670516941005 182 649 720 680 0 0
aibin3 0 100 1670516941014 1670516941010 182 651 720 680 0 0
aibin3 0 100 1670516941020 1670516941020 183 653 710 650 0 0
aibin3 0 100 1670516941026 1670516941025 183 655 710 650 0 0
aibin3 0 100 1670516941031 1670516941030 183 657 710 650 0 0
aibin3 0 100 1670516941037 1670516941035 183 659 710 670 0 0
aibin3 0 100 1670516941042 1670516941040 183 660 710 670 0 0
aibin3 0 100 1670516941047 1670516941045 183 660 700 640 0 0
aibin3 0 100 1670516941054 1670516941050 183 660 700 640 0 0
aibin3 0 100 1670516941059 1670516941055 182 659 700 640 0 0
aibin3 0 100 1670516941064 1670516941060 182 661 710 670 0 0
aibin3 0 100 1670516941070 1670516941070 182 662 700 680 0 0
aibin3 0 100 1670516941076 1670516941075 182 662 690 690 0 0
aibin3 0 100 1670516941081 1670516941080 182 662 690 690 0 0
aibin3 0 100 1670516941087 1670516941085 182 662 690 690 0 0
aibin3 0 100 1670516941092 1670516941090 182 663 680 700 0 0
aibin3 0 100 1670516941097 1670516941095 181 665 680 700 0 0
aibin3 0 100 1670516941103 1670516941100 181 666 680 700 0 0
aibin3 0 100 1670516941109 1670516941105 180 668 670 710 0 0
aibin3 0 100 1670516941114 1670516941110 180 670 670 710 0 0
aibin3 0 100 1670516941120 1670516941120 180 672 670 710 0 0
aibin3 0 100 1670516941126 1670516941125 180 674 670 710 0 0
aibin3 0 100 1670516941131 1670516941130 179 675 670 710 0 0
aibin3 0 100 1670516941137 1670516941135 178 675 670 710 0 0
aibin3 0 100 1670516941142 1670516941140 178 675 670 710 0 0
aibin3 0 100 1670516941147 1670516941145 177 675 670 710 0 0
aibin3 0 100 1670516941154 1670516941150 177 672 670 710 0 0
aibin3 0 100 1670516941159 1670516941155 176 670 670 710 0 0
aibin3 0 100 1670516941164 1670516941160 175 670 660 720 0 0
aibin3 0 100 1670516941170 1670516941170 174 667 660 740 0 0
aibin3 0 100 1670516941176 1670516941175 173 665 660 740 0 0
aibin3 0 100 1670516941181 1670516941180 173 665 650 750 0 0
aibin3 0 100 1670516941187 1670516941185 172 666 650 750 0 0
aibin3 0 100 1670516941192 1670516941190 172 665 640 770 0 0
aibin3 0 100 1670516941197 1670516941195 171 665 640 770 0 0
aibin3 0 100 1670516941204 1670516941200 170 668 630 780 0 0
aibin3 0 100 1670516941209 1670516941205 169 671 630 780 0 0
aibin3 0 100 1670516941214 1670516941210 169 673 630 780 0 0
aibin3 0 100 1670516941220 1670516941220 168 675 620 790 0 0
aibin3 0 100 1670516941226 1670516941225 168 677 620 790 0 0
aibin3 0 100 1670516941231 1670516941230 168 679 610 790 0 0
aibin3 0 100 1670516941237 1670516941235 168 680 610 790 0 0
aibin3 0 100 1670516941242 1670516941240 168 681 600 800 0 0
aibin3 0 100 1670516941247 1670516941245 168 682 600 800 0 0
aibin3 0 100 1670516941253 1670516941250 168 683 590 800 0 0
aibin3 0 100 1670516941259 1670516941255 168 683 590 800 0 0
aibin3 0 100 1670516941264 1670516941260 168 684 590 800 0 0
aibin3 0 100 1670516941270 1670516941270 169 686 580 800 0 0
aibin3 0 100 1670516941275 1670516941275 170 687 580 800 0 0
aibin3 0 100 1670516941281 1670516941280 170 689 580 790 0 0
aibin3 0 100 1670516941287 1670516941285 171 690 580 790 0 0
aibin3 0 100 1670516941292 1670516941290 171 692 580 790 0 0
aibin3 0 100 1670516941298 1670516941295 172 694 580 790 0 0
aibin3 0 100 1670516941303 1670516941300 173 697 580 790 0 0
aibin3 0 100 1670516941309 1670516941305 175 699 580 790 0 0
aibin3 0 100 1670516941314 1670516941310 176 701 580 790 0 0
aibin3 0 100 1670516941320 1670516941320 177 703 580 790 0 0
aibin3 0 100 1670516941326 1670516941325 177 703 570 770 0 0
aibin3 0 100 1670516941331 1670516941330 178 704 570 770 0 0
aibin3 0 100 1670516941337 1670516941335 178 705 570 770 0 0
aibin3 0 100 1670516941342 1670516941340 178 705 570 770 0 0
aibin3 0 100 1670516941348 1670516941345 179 706 570 770 0 0
aibin3 0 100 1670516941354 1670516941350 179 706 570 770 0 0
aibin3 0 100 1670516941359 1670516941355 179 706 570 770 0 0
aibin3 0 100 1670516941364 1670516941360 179 705 570 770 0 0
aibin3 0 100 1670516941370 1670516941370 179 704 570 770 0 0
aibin3 0 100 1670516941376 1670516941375 178 703 570 770 0 0
aibin3 0 100 1670516941381 1670516941380 178 702 570 770 0 0
aibin3 0 100 1670516941387 1670516941385 178 700 570 770 0 0
aibin3 0 100 1670516941392 1670516941390 178 699 570 770 0 0
aibin3 0 100 1670516941397 1670516941395 178 697 570 770 0 0
aibin3 0 100 1670516941404 1670516941400 178 695 570 770 0 0
aibin3 0 100 1670516941409 1670516941405 178 693 570 790 0 0
aibin3 0 100 1670516941414 1670516941410 178 692 570 790 0 0
aibin3 0 100 1670516941420 1670516941420 179 691 570 790 0 0
aibin3 0 100 1670516941426 1670516941425 179 690 570 790 0 0
aibin3 0 100 1670516941431 1670516941430 179 689 560 800 0 0
aibin3 0 100 1670516941437 1670516941435 180 689 560 800 0 0
aibin3 0 100 1670516941442 1670516941440 180 688 560 800 0 0
aibin3 0 100 1670516941447 1670516941445 181 688 560 800 0 0
aibin3 0 100 1670516941453 1670516941450 181 688 560 800 0 0
aibin3 0 100 1670516941459 1670516941455 182 688 560 800 0 0
aibin3 0 100 1670516941464 1670516941460 182 688 560 800 0 0
aibin3 0 100 1670516941470 1670516941470 182 688 560 800 0 0
aibin3 0 100 1670516941476 1670516941475 183 688 560 800 0 0
aibin3 0 100 1670516941481 1670516941480 183 688 550 780 0 0
aibin3 0 100 1670516941487 1670516941485 183 688 550 780 0 0
aibin3 0 100 1670516941492 1670516941490 183 688 550 780 0 0
aibin3 0 100 1670516941497 1670516941495 183 688 550 780 0 0
aibin3 0 100 1670516941503 1670516941500 184 689 550 780 0 0
aibin3 0 100 1670516941509 1670516941505 184 689 550 780 0 0
aibin3 0 100 1670516941514 1670516941510 184 689 550 780 0 0
aibin3 0 100 1670516941520 1670516941520 184 689 550 780 0 0
aibin3 0 100 1670516941526 1670516941525 184 689 550 780 0 0
aibin3 0 100 1670516941531 1670516941530 184 689 550 780 0 0
aibin3 0 100 1670516941537 1670516941535 184 690 550 780 0 0
aibin3 0 100 1670516941542 1670516941540 184 690 550 780 0 0
aibin3 0 100 1670516941547 1670516941545 184 690 550 780 0 0
aibin3 0 100 1670516941554 1670516941550 184 690 550 780 0 0
aibin3 0 100 1670516941559 1670516941555 185 690 550 780 0 0
aibin3 0 100 1670516941564 1670516941560 185 690 550 780 0 0
aibin3 0 100 1670516941570 1670516941570 186 691 550 780 0 0
aibin3 0 100 1670516941576 1670516941575 186 691 560 780 0 0
aibin3 0 100 1670516941581 1670516941580 186 691 570 790 0 0
aibin3 0 100 1670516941587 1670516941585 187 691 570 790 0 0
aibin3 0 100 1670516941592 1670516941590 187 691 570 790 0 0
aibin3 0 100 1670516941597 1670516941595 187 692 570 790 0 0
aibin3 0 100 1670516941604 1670516941600 187 692 570 790 0 0
aibin3 0 100 1670516941609 1670516941605 188 692 570 790 0 0
aibin3 0 100 1670516941614 1670516941610 188 693 570 790 0 0
aibin3 0 100 1670516941620 1670516941620 188 693 570 790 0 0
aibin3 0 100 1670516941627 1670516941625 188 693 570 790 0 0
aibin3 0 100 1670516941631 1670516941630 189 693 570 790 0 0
aibin3 0 100 1670516941637 1670516941635 189 694 570 790 0 0
aibin3 0 100 1670516941642 1670516941640 189 694 570 790 0 0
aibin3 0 100 1670516941647 1670516941645 189 694 570 790 0 0
aibin3 0 100 1670516941654 1670516941650 189 695 570 790 0 0
aibin3 0 100 1670516941659 1670516941655 189 695 570 790 0 0
aibin3 0 100 1670516941664 1670516941660 189 695 570 790 0 0
aibin3 0 100 1670516941670 1670516941670 189 695 570 790 0 0
aibin3 0 100 1670516941676 1670516941675 190 695 570 790 0 0
aibin3 0 100 1670516941681 1670516941680 190 695 570 790 0 0
aibin3 0 100 1670516941687 1670516941685 190 695 570 790 0 0
aibin3 0 100 1670516941692 1670516941690 190 695 570 790 0 0
aibin3 0 100 1670516941697 1670516941695 190 695 570 790 0 0
