UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
aibin3 1 100 1670517308595 1670517308595 270 636 740 640 0 0
aibin3 1 100 1670517308600 1670517308600 270 637 740 640 0 0
aibin3 1 100 1670517308606 1670517308605 270 637 740 640 0 0
aibin3 1 100 1670517308611 1670517308610 270 637 740 640 0 0
aibin3 1 100 1670517308617 1670517308615 270 638 740 650 0 0
aibin3 1 100 1670517308623 1670517308620 270 638 740 650 0 0
aibin3 1 100 1670517308628 1670517308625 269 638 740 650 0 0
aibin3 1 100 1670517308633 1670517308630 269 639 730 670 0 0
aibin3 1 100 1670517308639 1670517308635 269 639 730 670 0 0
aibin3 1 100 1670517308645 1670517308645 269 640 730 670 0 0
aibin3 1 100 1670517308650 1670517308650 269 640 720 640 0 0
aibin3 1 100 1670517308656 1670517308655 269 640 720 640 0 0
aibin3 1 100 1670517308661 1670517308660 268 640 720 640 0 0
aibin3 1 100 1670517308667 1670517308665 268 641 710 650 0 0
aibin3 1 100 1670517308673 1670517308670 268 642 710 650 0 0
aibin3 1 100 1670517308678 1670517308675 267 642 710 630 0 0
aibin3 1 100 1670517308683 1670517308680 267 642 710 630 0 0
aibin3 1 100 1670517308689 1670517308685 266 643 710 630 0 0
aibin3 1 100 1670517308695 1670517308695 266 644 710 630 0 0
aibin3 1 100 1670517308700 1670517308700 266 644 710 600 0 0
aibin3 1 100 1670517308706 1670517308705 265 644 710 600 0 0
aibin3 1 100 1670517308711 1670517308710 265 645 700 620 0 0
aibin3 1 100 1670517308717 1670517308715 264 645 700 640 0 0
aibin3 1 100 1670517308723 1670517308720 263 645 700 640 0 0
aibin3 1 100 1670517308728 1670517308725 262 644 700 640 0 0
aibin3 1 100 1670517308733 1670517308730 262 643 700 640 0 0
aibin3 1 100 1670517308739 1670517308735 261 642 690 650 0 0
aibin3 1 100 1670517308745 1670517308745 259 640 700 680 0 0
aibin3 1 100 1670517308750 1670517308750 258 638 700 680 0 0
aibin3 1 100 1670517308756 1670517308755 256 636 690 690 0 0
aibin3 1 100 1670517308761 1670517308760 256 633 690 690 0 0
aibin3 1 100 1670517308767 1670517308765 254 632 690 710 0 0
aibin3 1 100 1670517308773 1670517308770 254 632 690 710 0 0
aibin3 1 100 1670517308778 1670517308775 252 630 690 710 0 0
aibin3 1 100 1670517308783 1670517308780 250 629 680 720 0 0
aibin3 1 100 1670517308789 1670517308785 249 629 680 750 0 0
aibin3 1 100 1670517308795 1670517308795 247 628 680 750 0 0
aibin3 1 100 1670517308800 1670517308800 245 627 680 750 0 0
aibin3 1 100 1670517308806 1670517308805 242 627 670 750 0 0
aibin3 1 100 1670517308811 1670517308810 240 627 670 750 0 0
aibin3 1 100 1670517308817 1670517308815 237 627 670 750 0 0
aibin3 1 100 1670517308823 1670517308820 234 627 670 750 0 0
aibin3 1 100 1670517308828 1670517308825 232 626 670 750 0 0
aibin3 1 100 1670517308833 1670517308830 231 625 670 750 0 0
aibin3 1 100 1670517308839 1670517308835 230 625 660 760 0 0
aibin3 1 100 1670517308845 1670517308845 230 624 670 780 0 0
aibin3 1 100 1670517308850 1670517308850 230 623 670 780 0 0
aibin3 1 100 1670517308856 1670517308855 231 623 670 780 0 0
aibin3 1 100 1670517308861 1670517308860 231 623 670 780 0 0
aibin3 1 100 1670517308867 1670517308865 231 623 670 780 0 0
aibin3 1 100 1670517308873 1670517308870 231 622 670 780 0 0
aibin3 1 100 1670517308878 1670517308875 230 622 670 780 0 0
aibin3 1 100 1670517308883 1670517308880 230 622 660 760 0 0
aibin3 1 100 1670517308889 1670517308885 229 622 660 760 0 0
aibin3 1 100 1670517308895 1670517308895 228 622 660 760 0 0
aibin3 1 100 1670517308900 1670517308900 227 622 660 760 0 0
aibin3 1 100 1670517308906 1670517308905 227 622 660 760 0 0
aibin3 1 100 1670517308911 1670517308910 227 622 660 760 0 0
aibin3 1 100 1670517308917 1670517308915 226 622 660 760 0 0
aibin3 1 100 1670517308923 1670517308920 226 622 660 760 0 0
aibin3 1 100 1670517308928 1670517308925 226 622 660 760 0 0
aibin3 1 100 1670517308933 1670517308930 225 622 660 760 0 0
aibin3 1 100 1670517308939 1670517308935 225 622 660 760 0 0
aibin3 1 100 1670517308945 1670517308945 224 623 660 760 0 0
aibin3 1 100 1670517308950 1670517308950 223 623 660 760 0 0
aibin3 1 100 1670517308956 1670517308955 223 623 660 760 0 0
aibin3 1 100 1670517308961 1670517308960 222 623 660 760 0 0
aibin3 1 100 1670517308976 1670517308975 222 623 660 760 0 0
aibin3 1 100 1670517308977 1670517308975 221 623 670 780 0 0
aibin3 1 100 1670517308980 1670517308980 221 622 670 780 0 0
aibin3 1 100 1670517308983 1670517308980 220 622 670 780 0 0
aibin3 1 100 1670517308989 1670517308985 220 622 670 780 0 0
aibin3 1 100 1670517308995 1670517308995 219 622 670 780 0 0
aibin3 1 100 1670517309000 1670517309000 218 621 660 790 0 0
aibin3 1 100 1670517309006 1670517309005 218 621 660 790 0 0
aibin3 1 100 1670517309011 1670517309010 218 621 660 790 0 0
aibin3 1 100 1670517309017 1670517309015 218 620 660 790 0 0
aibin3 1 100 1670517309023 1670517309020 217 620 660 790 0 0
aibin3 1 100 1670517309028 1670517309025 217 620 660 790 0 0
aibin3 1 100 1670517309033 1670517309030 217 620 660 790 0 0
aibin3 1 100 1670517309039 1670517309035 217 619 660 790 0 0
aibin3 1 100 1670517309045 1670517309045 217 619 660 790 0 0
aibin3 1 100 1670517309050 1670517309050 217 619 650 770 0 0
