UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
duo1 4 1 1670858875652 1670858875650 174 564 620 2870 0 0
duo1 4 1 1670858875658 1670858875655 173 564 630 2880 0 0
duo1 4 1 1670858875663 1670858875660 172 564 640 2890 0 0
duo1 4 1 1670858875669 1670858875665 172 564 650 2900 0 0
duo1 4 1 1670858875675 1670858875675 171 564 660 2900 0 0
duo1 4 1 1670858875680 1670858875680 171 563 670 2920 0 0
duo1 4 1 1670858875684 1670858875680 171 563 690 2950 0 0
duo1 4 1 1670858875691 1670858875690 170 562 700 2960 0 0
duo1 4 1 1670858875697 1670858875695 170 562 720 2990 0 0
duo1 4 1 1670858875701 1670858875700 170 561 740 3020 0 0
duo1 4 1 1670858875708 1670858875705 170 561 740 3040 0 0
duo1 4 1 1670858875713 1670858875710 169 561 750 3100 0 0
duo1 4 1 1670858875719 1670858875715 169 560 750 3120 0 0
duo1 4 1 1670858875724 1670858875720 169 558 760 3150 0 0
duo1 4 1 1670858875730 1670858875730 169 559 760 3150 0 0
duo1 4 1 1670858875735 1670858875735 168 559 760 3210 0 0
duo1 4 1 1670858875741 1670858875740 168 559 760 3210 0 0
duo1 4 1 1670858875747 1670858875745 168 559 770 3240 0 0
duo1 4 1 1670858875752 1670858875750 168 558 770 3240 0 0
duo1 4 1 1670858875758 1670858875755 169 558 770 3240 0 0
duo1 4 1 1670858875762 1670858875760 169 558 770 3280 0 0
duo1 4 1 1670858875769 1670858875765 169 559 770 3280 0 0
duo1 4 1 1670858875775 1670858875775 170 559 770 3280 0 0
duo1 4 1 1670858875779 1670858875775 170 559 780 3320 0 0
duo1 4 1 1670858875785 1670858875785 170 560 770 3340 0 0
duo1 4 1 1670858875791 1670858875790 170 560 770 3380 0 0
duo1 4 1 1670858875797 1670858875795 170 561 770 3380 0 0
duo1 4 1 1670858875802 1670858875800 171 561 770 3380 0 0
duo1 4 1 1670858875808 1670858875805 171 561 770 3380 0 0
duo1 4 1 1670858875812 1670858875810 171 562 760 3390 0 0
duo1 4 1 1670858875819 1670858875815 171 562 760 3430 0 0
duo1 4 1 1670858875824 1670858875820 171 563 760 3430 0 0
duo1 4 1 1670858875830 1670858875830 171 563 760 3430 0 0
duo1 4 1 1670858875835 1670858875835 171 563 770 3470 0 0
duo1 4 1 1670858875840 1670858875840 171 563 770 3470 0 0
duo1 4 1 1670858875847 1670858875845 171 563 770 3510 0 0
