UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
duo2 1 1 1670857777958 1670857777955 141 532 670 690 0 0
duo2 1 1 1670857777959 1670857777955 140 531 670 690 0 0
duo2 1 1 1670857777966 1670857777965 140 531 670 690 0 0
duo2 1 1 1670857777971 1670857777970 139 531 670 680 0 0
duo2 1 1 1670857777976 1670857777975 139 531 670 650 0 0
duo2 1 1 1670857777983 1670857777980 139 532 670 650 0 0
duo2 1 1 1670857777988 1670857777985 139 532 670 630 0 0
duo2 1 1 1670857777993 1670857777990 139 533 680 620 0 0
duo2 1 1 1670857777999 1670857777995 139 534 680 620 0 0
duo2 1 1 1670857778004 1670857778000 139 534 670 600 0 0
duo2 1 1 1670857778010 1670857778010 139 534 670 600 0 0
duo2 1 1 1670857778016 1670857778015 138 534 670 600 0 0
duo2 1 1 1670857778021 1670857778020 138 534 670 580 0 0
duo2 1 1 1670857778027 1670857778025 138 534 670 580 0 0
duo2 1 1 1670857778033 1670857778030 138 534 670 580 0 0
duo2 1 1 1670857778039 1670857778035 138 535 670 580 0 0
duo2 1 1 1670857778043 1670857778040 138 535 670 580 0 0
duo2 1 1 1670857778049 1670857778045 138 535 670 560 0 0
duo2 1 1 1670857778054 1670857778050 138 535 670 560 0 0
duo2 1 1 1670857778061 1670857778060 138 535 670 540 0 0
duo2 1 1 1670857778066 1670857778065 138 535 670 540 0 0
duo2 1 1 1670857778071 1670857778070 138 535 670 540 0 0
duo2 1 1 1670857778076 1670857778075 138 535 670 540 0 0
duo2 1 1 1670857778083 1670857778080 138 535 670 540 0 0
duo2 1 1 1670857778088 1670857778085 138 535 670 540 0 0
duo2 1 1 1670857778093 1670857778090 138 535 670 540 0 0
duo2 1 1 1670857778099 1670857778095 138 535 670 540 0 0
duo2 1 1 1670857778104 1670857778100 138 535 670 540 0 0
duo2 1 1 1670857778110 1670857778110 138 534 670 540 0 0
duo2 1 1 1670857778116 1670857778115 138 534 670 540 0 0
duo2 1 1 1670857778121 1670857778120 138 534 670 540 0 0
duo2 1 1 1670857778126 1670857778125 138 533 670 540 0 0
duo2 1 1 1670857778134 1670857778130 139 532 670 540 0 0
duo2 1 1 1670857778138 1670857778135 139 531 670 540 0 0
duo2 1 1 1670857778143 1670857778140 139 531 660 520 0 0
duo2 1 1 1670857778149 1670857778145 139 530 660 520 0 0
duo2 1 1 1670857778154 1670857778150 139 530 660 520 0 0
duo2 1 1 1670857778161 1670857778160 139 530 660 520 0 0
duo2 1 1 1670857778166 1670857778165 140 530 660 520 0 0
duo2 1 1 1670857778171 1670857778170 140 530 660 520 0 0
duo2 1 1 1670857778176 1670857778175 140 530 660 520 0 0
duo2 1 1 1670857778183 1670857778180 140 529 660 520 0 0
duo2 1 1 1670857778188 1670857778185 140 529 670 500 0 0
duo2 1 1 1670857778193 1670857778190 140 529 670 500 0 0
duo2 1 1 1670857778199 1670857778195 140 529 670 500 0 0
duo2 1 1 1670857778204 1670857778200 141 529 670 500 0 0
duo2 1 1 1670857778210 1670857778210 141 529 670 500 0 0
duo2 1 1 1670857778216 1670857778215 141 529 670 500 0 0
duo2 1 1 1670857778221 1670857778220 141 529 670 500 0 0
duo2 1 1 1670857778226 1670857778225 141 529 670 500 0 0
duo2 1 1 1670857778233 1670857778230 141 530 670 500 0 0
duo2 1 1 1670857778239 1670857778235 141 530 670 500 0 0
duo2 1 1 1670857778244 1670857778240 141 530 670 500 0 0
duo2 1 1 1670857778249 1670857778245 141 530 670 500 0 0
duo2 1 1 1670857778255 1670857778255 141 530 670 500 0 0
duo2 1 1 1670857778260 1670857778260 141 531 670 500 0 0
duo2 1 1 1670857778266 1670857778265 141 531 670 500 0 0
duo2 1 1 1670857778271 1670857778270 140 531 670 500 0 0
duo2 1 1 1670857778278 1670857778275 140 531 670 500 0 0
duo2 1 1 1670857778284 1670857778280 140 532 670 500 0 0
duo2 1 1 1670857778288 1670857778285 140 532 660 520 0 0
duo2 1 1 1670857778294 1670857778290 140 532 660 520 0 0
duo2 1 1 1670857778299 1670857778295 140 532 660 520 0 0
duo2 1 1 1670857778304 1670857778300 140 532 660 520 0 0
duo2 1 1 1670857778310 1670857778310 140 533 660 520 0 0
duo2 1 1 1670857778317 1670857778315 140 533 660 520 0 0
duo2 1 1 1670857778321 1670857778320 140 533 660 520 0 0
duo2 1 1 1670857778326 1670857778325 140 533 660 520 0 0
duo2 1 1 1670857778334 1670857778330 140 533 660 520 0 0
duo2 1 1 1670857778338 1670857778335 140 533 660 520 0 0
duo2 1 1 1670857778343 1670857778340 140 534 660 520 0 0
duo2 1 1 1670857778349 1670857778345 140 534 660 520 0 0
duo2 1 1 1670857778354 1670857778350 140 534 660 520 0 0
duo2 1 1 1670857778360 1670857778360 140 534 660 520 0 0
duo2 1 1 1670857778366 1670857778365 140 534 660 520 0 0
duo2 1 1 1670857778371 1670857778370 140 534 660 540 0 0
duo2 1 1 1670857778376 1670857778375 140 534 660 540 0 0
duo2 1 1 1670857778383 1670857778380 140 535 660 540 0 0
duo2 1 1 1670857778388 1670857778385 140 535 660 540 0 0
duo2 1 1 1670857778393 1670857778390 140 535 660 540 0 0
duo2 1 1 1670857778400 1670857778400 140 535 660 540 0 0
duo2 1 1 1670857778404 1670857778400 140 535 660 540 0 0
duo2 1 1 1670857778410 1670857778410 140 535 660 540 0 0
duo2 1 1 1670857778416 1670857778415 140 535 660 540 0 0
duo2 1 1 1670857778421 1670857778420 140 535 660 540 0 0
duo2 1 1 1670857778427 1670857778425 140 535 660 540 0 0
duo2 1 1 1670857778434 1670857778430 140 535 660 520 0 0
duo2 1 1 1670857778438 1670857778435 140 535 660 520 0 0
duo2 1 1 1670857778444 1670857778440 140 535 660 520 0 0
duo2 1 1 1670857778450 1670857778450 140 535 660 520 0 0
duo2 1 1 1670857778454 1670857778450 140 535 660 520 0 0
duo2 1 1 1670857778460 1670857778460 140 535 660 520 0 0
