UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
duo2 5 1 1670858721985 1670858721985 158 429 550 1200 0 0
duo2 5 1 1670858721990 1670858721990 157 432 550 1200 0 0
duo2 5 1 1670858721995 1670858721995 154 437 550 1200 0 0
duo2 5 1 1670858722002 1670858722000 154 439 540 1190 0 0
duo2 5 1 1670858722008 1670858722005 151 447 540 1190 0 0
duo2 5 1 1670858722012 1670858722010 149 454 540 1180 0 0
duo2 5 1 1670858722017 1670858722015 147 461 520 1150 0 0
duo2 5 1 1670858722024 1670858722020 146 467 510 1140 0 0
duo2 5 1 1670858722030 1670858722030 146 473 510 1120 0 0
duo2 5 1 1670858722034 1670858722030 145 480 510 1120 0 0
duo2 5 1 1670858722040 1670858722040 145 486 500 1100 0 0
duo2 5 1 1670858722046 1670858722045 144 492 500 1100 0 0
duo2 5 1 1670858722051 1670858722050 142 497 500 1100 0 0
duo2 5 1 1670858722057 1670858722055 140 502 500 1080 0 0
duo2 5 1 1670858722062 1670858722060 139 505 500 1080 0 0
duo2 5 1 1670858722067 1670858722065 137 509 500 1080 0 0
duo2 5 1 1670858722073 1670858722070 135 511 500 1070 0 0
duo2 5 1 1670858722079 1670858722075 134 510 500 1070 0 0
duo2 5 1 1670858722084 1670858722080 132 511 500 1070 0 0
duo2 5 1 1670858722090 1670858722090 132 511 500 1070 0 0
duo2 5 1 1670858722095 1670858722095 131 511 510 1080 0 0
duo2 5 1 1670858722101 1670858722100 129 511 510 1060 0 0
duo2 5 1 1670858722107 1670858722105 129 511 510 1060 0 0
duo2 5 1 1670858722112 1670858722110 127 512 510 1060 0 0
duo2 5 1 1670858722117 1670858722115 125 512 510 1050 0 0
duo2 5 1 1670858722123 1670858722120 124 514 510 1050 0 0
duo2 5 1 1670858722129 1670858722125 122 517 510 1040 0 0
duo2 5 1 1670858722134 1670858722130 120 521 520 1040 0 0
duo2 5 1 1670858722140 1670858722140 119 521 520 1040 0 0
duo2 5 1 1670858722145 1670858722145 119 524 520 1030 0 0
duo2 5 1 1670858722151 1670858722150 117 526 520 1030 0 0
duo2 5 1 1670858722157 1670858722155 115 526 520 1030 0 0
duo2 5 1 1670858722162 1670858722160 113 526 520 1030 0 0
duo2 5 1 1670858722167 1670858722165 114 525 520 1030 0 0
duo2 5 1 1670858722173 1670858722170 114 525 520 1030 0 0
duo2 5 1 1670858722179 1670858722175 112 525 520 1020 0 0
duo2 5 1 1670858722184 1670858722180 111 526 520 1020 0 0
duo2 5 1 1670858722190 1670858722190 111 527 520 1020 0 0
duo2 5 1 1670858722195 1670858722195 112 527 520 1020 0 0
duo2 5 1 1670858722201 1670858722200 111 526 520 1020 0 0
duo2 5 1 1670858722207 1670858722205 111 524 510 1030 0 0
duo2 5 1 1670858722212 1670858722210 111 523 510 1030 0 0
duo2 5 1 1670858722216 1670858722215 111 523 500 1020 0 0
duo2 5 1 1670858722223 1670858722220 111 522 490 1020 0 0
duo2 5 1 1670858722229 1670858722225 111 522 480 1010 0 0
duo2 5 1 1670858722235 1670858722235 111 521 480 1030 0 0
duo2 5 1 1670858722241 1670858722240 111 521 470 1020 0 0
duo2 5 1 1670858722246 1670858722245 111 521 460 1020 0 0
duo2 5 1 1670858722251 1670858722250 111 522 460 1020 0 0
duo2 5 1 1670858722257 1670858722255 111 525 460 1020 0 0
duo2 5 1 1670858722262 1670858722260 111 529 450 1010 0 0
duo2 5 1 1670858722267 1670858722265 111 532 450 1010 0 0
duo2 5 1 1670858722273 1670858722270 112 534 450 1010 0 0
duo2 5 1 1670858722279 1670858722275 112 535 440 1010 0 0
duo2 5 1 1670858722284 1670858722280 114 535 440 1010 0 0
duo2 5 1 1670858722290 1670858722290 116 535 440 1010 0 0
duo2 5 1 1670858722296 1670858722295 118 535 440 1010 0 0
duo2 5 1 1670858722301 1670858722300 120 535 440 1010 0 0
duo2 5 1 1670858722307 1670858722305 121 535 440 1010 0 0
duo2 5 1 1670858722312 1670858722310 123 534 440 1010 0 0
duo2 5 1 1670858722317 1670858722315 124 534 440 1010 0 0
duo2 5 1 1670858722323 1670858722320 125 534 440 1010 0 0
duo2 5 1 1670858722329 1670858722325 126 534 440 1010 0 0
duo2 5 1 1670858722334 1670858722330 127 534 440 1010 0 0
duo2 5 1 1670858722340 1670858722340 128 534 440 1010 0 0
duo2 5 1 1670858722345 1670858722345 129 534 430 1000 0 0
duo2 5 1 1670858722351 1670858722350 129 534 430 1000 0 0
duo2 5 1 1670858722357 1670858722355 129 533 430 1000 0 0
duo2 5 1 1670858722362 1670858722360 130 531 430 1000 0 0
duo2 5 1 1670858722367 1670858722365 131 530 430 1000 0 0
duo2 5 1 1670858722373 1670858722370 131 529 430 1000 0 0
duo2 5 1 1670858722379 1670858722375 132 528 430 1000 0 0
duo2 5 1 1670858722384 1670858722380 132 528 430 1000 0 0
duo2 5 1 1670858722390 1670858722390 133 527 430 1000 0 0
duo2 5 1 1670858722396 1670858722395 134 527 430 1000 0 0
duo2 5 1 1670858722401 1670858722400 135 526 430 1000 0 0
duo2 5 1 1670858722407 1670858722405 135 525 430 1000 0 0
duo2 5 1 1670858722412 1670858722410 136 524 430 1000 0 0
duo2 5 1 1670858722417 1670858722415 137 523 430 1000 0 0
duo2 5 1 1670858722423 1670858722420 138 522 430 1000 0 0
duo2 5 1 1670858722429 1670858722425 138 522 430 1000 0 0
duo2 5 1 1670858722434 1670858722430 138 521 430 1000 0 0
duo2 5 1 1670858722440 1670858722440 138 521 430 1000 0 0
duo2 5 1 1670858722445 1670858722445 139 521 430 1000 0 0
duo2 5 1 1670858722452 1670858722450 139 521 430 1000 0 0
duo2 5 1 1670858722458 1670858722455 139 521 430 1000 0 0
duo2 5 1 1670858722463 1670858722460 139 521 430 1000 0 0
duo2 5 1 1670858722467 1670858722465 140 521 430 1000 0 0
duo2 5 1 1670858722474 1670858722470 140 521 420 1000 0 0
duo2 5 1 1670858722479 1670858722475 140 521 420 1000 0 0
duo2 5 1 1670858722484 1670858722480 140 520 420 1000 0 0
duo2 5 1 1670858722490 1670858722490 140 518 420 1000 0 0
duo2 5 1 1670858722495 1670858722495 140 517 420 1000 0 0
duo2 5 1 1670858722501 1670858722500 140 516 420 1000 0 0
duo2 5 1 1670858722508 1670858722505 140 514 420 1000 0 0
duo2 5 1 1670858722512 1670858722510 140 513 420 1000 0 0
duo2 5 1 1670858722517 1670858722515 140 512 420 1000 0 0
duo2 5 1 1670858722524 1670858722520 139 511 420 1000 0 0
duo2 5 1 1670858722529 1670858722525 138 509 410 1010 0 0
duo2 5 1 1670858722535 1670858722535 138 507 410 1010 0 0
duo2 5 1 1670858722541 1670858722540 136 505 420 1010 0 0
duo2 5 1 1670858722547 1670858722545 135 502 420 1010 0 0
