TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
1670502847499 1670502847495 279 563 570 870 0 0
1670502847500 1670502847500 279 564 570 870 0 0
1670502847509 1670502847505 279 565 570 870 0 0
1670502847515 1670502847515 280 565 580 870 0 0
1670502847520 1670502847520 280 567 580 850 0 0
1670502847526 1670502847525 280 568 580 840 0 0
1670502847531 1670502847530 280 568 580 820 0 0
1670502847536 1670502847535 280 567 590 820 0 0
1670502847543 1670502847540 280 567 590 800 0 0
1670502847548 1670502847545 280 568 590 800 0 0
1670502847553 1670502847550 281 568 590 800 0 0
1670502847559 1670502847555 281 568 580 780 0 0
1670502847565 1670502847565 281 568 580 780 0 0
1670502847570 1670502847570 281 568 580 780 0 0
1670502847576 1670502847575 281 567 580 780 0 0
1670502847581 1670502847580 281 567 580 780 0 0
1670502847587 1670502847585 281 567 580 780 0 0
1670502847593 1670502847590 281 567 580 780 0 0
1670502847598 1670502847595 281 566 580 780 0 0
1670502847603 1670502847600 281 566 590 780 0 0
1670502847609 1670502847605 281 566 590 780 0 0
1670502847615 1670502847615 280 566 590 780 0 0
1670502847620 1670502847620 280 565 590 780 0 0
1670502847626 1670502847625 280 565 600 800 0 0
1670502847631 1670502847630 279 564 600 800 0 0
1670502847637 1670502847635 279 564 600 800 0 0
1670502847643 1670502847640 278 563 600 800 0 0
1670502847648 1670502847645 278 562 600 800 0 0
1670502847653 1670502847650 277 561 600 810 0 0
1670502847659 1670502847655 276 559 600 810 0 0
1670502847665 1670502847665 276 558 600 810 0 0
1670502847670 1670502847670 275 556 600 810 0 0
1670502847676 1670502847675 275 554 590 820 0 0
1670502847681 1670502847680 275 553 590 830 0 0
1670502847687 1670502847685 275 551 590 830 0 0
1670502847693 1670502847690 275 550 590 830 0 0
1670502847698 1670502847695 274 549 590 850 0 0
1670502847703 1670502847700 274 548 590 850 0 0
1670502847709 1670502847705 274 547 590 850 0 0
1670502847715 1670502847715 274 546 590 850 0 0
1670502847726 1670502847725 274 545 590 870 0 0
1670502847727 1670502847725 273 545 580 870 0 0
1670502847731 1670502847730 273 544 580 870 0 0
1670502847736 1670502847735 272 543 580 870 0 224
1670502847743 1670502847740 272 543 580 880 0 224
1670502847748 1670502847745 272 543 580 880 0 288
1670502847753 1670502847750 272 543 580 880 0 322
1670502847759 1670502847755 272 543 580 880 0 352
1670502847765 1670502847765 272 543 580 900 0 372
1670502847770 1670502847770 272 543 580 900 0 387
1670502847776 1670502847775 272 543 580 900 0 398
1670502847781 1670502847780 272 543 580 900 0 405
1670502847787 1670502847785 269 545 590 900 0 410
1670502847793 1670502847790 268 547 590 900 0 412
1670502847798 1670502847795 268 549 590 900 0 415
1670502847803 1670502847800 267 551 590 900 0 416
1670502847809 1670502847805 267 554 590 900 0 417
1670502847815 1670502847815 267 557 590 900 0 418
1670502847824 1670502847820 266 560 590 900 0 419
1670502847826 1670502847825 266 563 590 900 0 420
1670502847831 1670502847830 266 565 590 900 0 421
1670502847837 1670502847835 266 567 590 900 0 422
1670502847845 1670502847845 266 569 590 900 0 423
1670502847848 1670502847845 266 570 590 900 0 424
1670502847853 1670502847850 266 571 590 900 0 424
1670502847859 1670502847855 266 571 590 900 0 424
1670502847865 1670502847865 267 571 590 900 0 422
1670502847870 1670502847870 267 571 590 900 0 422
1670502847876 1670502847875 268 570 590 900 0 422
1670502847881 1670502847880 269 569 590 900 0 424
1670502847887 1670502847885 270 568 590 900 0 424
1670502847893 1670502847890 271 566 590 900 0 424
1670502847899 1670502847895 272 564 590 900 0 424
1670502847903 1670502847900 273 562 590 900 0 425
1670502847909 1670502847905 274 560 590 900 0 425
1670502847915 1670502847915 275 558 590 900 0 425
1670502847921 1670502847920 276 555 590 900 0 425
1670502847926 1670502847925 277 553 590 900 0 425
1670502847936 1670502847935 278 551 600 900 0 426
1670502847937 1670502847935 279 550 600 900 0 427
1670502847943 1670502847940 280 549 600 900 0 426
1670502847952 1670502847950 280 548 600 900 0 427
1670502847953 1670502847950 281 547 600 900 0 427
1670502847959 1670502847955 281 547 600 900 0 427
1670502847965 1670502847965 281 547 600 900 0 427
1670502847970 1670502847970 281 548 600 900 0 427
1670502847976 1670502847975 281 549 600 900 0 434
1670502847981 1670502847980 281 551 600 900 0 439
1670502847987 1670502847985 281 554 600 900 0 443
1670502847993 1670502847990 280 557 600 900 0 446
1670502847998 1670502847995 280 560 600 900 0 448
1670502848003 1670502848000 280 564 600 900 0 451
1670502848009 1670502848005 280 567 600 900 0 455
1670502848015 1670502848015 280 569 600 900 0 459
1670502848020 1670502848020 280 571 600 900 0 464
1670502848026 1670502848025 280 572 600 900 0 468
1670502848031 1670502848030 280 573 600 900 0 471
1670502848037 1670502848035 281 573 600 880 0 471
1670502848043 1670502848040 281 573 600 880 0 471
1670502848048 1670502848045 281 573 600 880 0 471
1670502848053 1670502848050 282 573 600 880 0 471
1670502848059 1670502848055 282 572 600 880 0 471
1670502848065 1670502848065 283 572 600 880 0 474
1670502848070 1670502848070 283 570 600 880 0 473
1670502848076 1670502848075 284 569 600 880 0 474
1670502848081 1670502848080 285 567 600 880 0 475
1670502848087 1670502848085 285 565 600 880 0 476
1670502848093 1670502848090 286 563 600 880 0 475
1670502848098 1670502848095 286 562 600 880 0 475
1670502848103 1670502848100 287 560 600 880 0 476
1670502848109 1670502848105 288 557 600 880 0 476
1670502848114 1670502848110 288 555 600 880 0 476
1670502848120 1670502848120 289 553 600 880 0 477
1670502848126 1670502848125 289 552 600 880 0 476
1670502848131 1670502848130 290 550 600 880 0 477
1670502848136 1670502848135 291 549 600 880 0 476
1670502848143 1670502848140 292 549 600 880 0 476
1670502848148 1670502848145 293 549 600 880 0 476
1670502848153 1670502848150 293 549 600 880 0 478
1670502848159 1670502848155 294 551 600 880 0 481
1670502848165 1670502848165 295 553 600 880 0 489
1670502848170 1670502848170 296 556 600 880 0 497
1670502848176 1670502848175 296 560 610 880 0 505
1670502848181 1670502848180 296 564 610 880 0 511
1670502848186 1670502848185 296 567 610 880 0 514
1670502848193 1670502848190 297 571 610 880 0 517
1670502848198 1670502848195 297 574 610 880 0 522
1670502848203 1670502848200 297 577 610 880 0 526
1670502848209 1670502848205 297 579 610 880 0 531
1670502848214 1670502848210 297 580 610 880 0 533
1670502848220 1670502848220 298 581 610 880 0 536
1670502848226 1670502848225 298 582 610 880 0 537
1670502848231 1670502848230 298 582 610 880 0 537
1670502848236 1670502848235 298 582 610 880 0 537
1670502848243 1670502848240 299 582 610 880 0 535
1670502848248 1670502848245 299 581 610 880 0 536
1670502848253 1670502848250 300 580 610 880 0 536
1670502848259 1670502848255 301 578 610 880 0 536
1670502848265 1670502848265 301 576 610 880 0 537
1670502848270 1670502848270 302 574 610 860 0 537
1670502848276 1670502848275 303 571 610 860 0 537
1670502848281 1670502848280 304 569 610 860 0 537
1670502848286 1670502848285 304 567 610 860 0 537
1670502848293 1670502848290 305 565 610 860 0 536
1670502848298 1670502848295 305 564 610 860 0 536
1670502848303 1670502848300 306 564 610 860 0 536
1670502848309 1670502848305 306 564 610 860 0 536
1670502848315 1670502848315 306 564 610 860 0 535
1670502848320 1670502848320 307 566 610 860 0 535
1670502848326 1670502848325 307 567 610 860 0 536
1670502848331 1670502848330 307 570 610 860 0 537
1670502848337 1670502848335 308 572 610 860 0 538
1670502848343 1670502848340 308 575 610 860 0 539
1670502848348 1670502848345 308 577 610 860 0 540
1670502848353 1670502848350 309 578 610 860 0 541
1670502848359 1670502848355 309 580 610 860 0 541
1670502848365 1670502848365 309 581 610 860 0 541
1670502848370 1670502848370 310 581 610 860 0 543
1670502848376 1670502848375 310 582 610 860 0 543
1670502848381 1670502848380 311 581 620 860 0 543
1670502848386 1670502848385 312 581 620 860 0 543
1670502848393 1670502848390 313 579 620 860 0 543
1670502848398 1670502848395 314 577 620 860 0 543
1670502848403 1670502848400 315 575 620 860 0 543
1670502848409 1670502848405 316 572 620 860 0 544
1670502848414 1670502848410 318 570 620 860 0 544
1670502848420 1670502848420 319 567 630 860 0 544
1670502848426 1670502848425 320 564 630 860 0 545
1670502848431 1670502848430 322 562 630 860 0 545
1670502848436 1670502848435 324 560 630 860 0 545
1670502848443 1670502848440 325 559 630 880 0 545
1670502848448 1670502848445 326 559 630 880 0 546
1670502848453 1670502848450 327 559 630 880 0 546
1670502848458 1670502848455 328 560 630 880 0 549
1670502848464 1670502848460 329 561 630 880 0 552
1670502848470 1670502848470 330 562 630 880 0 555
1670502848476 1670502848475 331 564 630 880 0 556
1670502848484 1670502848480 331 566 630 880 0 560
1670502848486 1670502848485 332 568 640 880 0 562
1670502848493 1670502848490 332 570 640 880 0 564
1670502848498 1670502848495 332 572 640 880 0 568
1670502848503 1670502848500 332 573 640 880 0 572
1670502848509 1670502848505 333 574 640 880 0 575
1670502848514 1670502848510 333 575 640 880 0 579
1670502848520 1670502848520 333 576 640 880 0 583
1670502848525 1670502848525 333 576 640 880 0 584
1670502848530 1670502848530 334 576 640 880 0 585
1670502848536 1670502848535 334 576 640 880 0 586
1670502848543 1670502848540 334 575 640 880 0 586
1670502848548 1670502848545 334 574 640 880 0 586
1670502848553 1670502848550 335 573 640 880 0 587
1670502848559 1670502848555 335 572 640 880 0 588
1670502848564 1670502848560 335 570 650 880 0 589
1670502848570 1670502848570 336 569 650 880 0 588
1670502848576 1670502848575 337 567 650 880 0 588
1670502848581 1670502848580 338 565 650 880 0 588
1670502848586 1670502848585 339 564 650 880 0 589
1670502848592 1670502848590 340 562 650 880 0 588
1670502848598 1670502848595 342 560 650 880 0 589
1670502848602 1670502848600 343 558 650 880 0 589
1670502848609 1670502848605 345 557 650 880 0 589
1670502848614 1670502848610 347 556 650 880 0 589
1670502848619 1670502848615 348 556 650 880 0 592
1670502848626 1670502848625 349 556 660 880 0 593
1670502848631 1670502848630 350 557 660 880 0 596
1670502848636 1670502848635 351 560 660 880 0 598
1670502848642 1670502848640 352 562 660 880 0 601
1670502848648 1670502848645 352 565 660 880 0 604
1670502848653 1670502848650 352 569 660 880 0 604
1670502848659 1670502848655 352 572 660 880 0 606
1670502848665 1670502848665 352 575 660 880 0 607
1670502848670 1670502848670 352 578 660 880 0 608
1670502848676 1670502848675 353 581 660 880 0 608
1670502848680 1670502848680 353 583 660 880 0 608
1670502848686 1670502848685 353 584 660 880 0 610
1670502848692 1670502848690 353 585 660 880 0 610
1670502848698 1670502848695 353 585 660 880 0 610
1670502848702 1670502848700 353 585 660 880 0 610
1670502848709 1670502848705 353 585 660 880 0 607
1670502848714 1670502848710 354 584 660 880 0 607
1670502848720 1670502848720 355 582 660 860 0 607
1670502848726 1670502848725 355 581 660 860 0 602
1670502848731 1670502848730 356 578 660 860 0 600
1670502848736 1670502848735 357 576 660 860 0 599
1670502848742 1670502848740 358 574 660 860 0 598
1670502848748 1670502848745 360 572 670 880 0 598
1670502848753 1670502848750 362 569 670 880 0 598
1670502848759 1670502848755 364 567 670 880 0 586
1670502848765 1670502848765 365 565 670 880 0 577
1670502848770 1670502848770 367 563 670 880 0 564
1670502848776 1670502848775 369 562 670 880 0 536
1670502848781 1670502848780 371 560 670 900 0 495
1670502848786 1670502848785 373 559 670 900 0 429
1670502848793 1670502848790 374 557 670 900 0 302
1670502848798 1670502848795 376 556 670 900 0 158
1670502848803 1670502848800 376 556 670 900 0 0
1670502848809 1670502848805 378 554 670 900 0 0
1670502848814 1670502848810 379 553 670 900 0 0
1670502848820 1670502848820 380 552 670 920 0 0
1670502848826 1670502848825 380 551 670 920 0 0
1670502848831 1670502848830 380 550 680 920 0 0
