UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
siyi1 2 1 1670859955187 1670859955185 216 609 640 880 0 0
siyi1 2 1 1670859955193 1670859955190 216 609 640 880 0 0
siyi1 2 1 1670859955199 1670859955195 217 609 640 880 0 0
siyi1 2 1 1670859955204 1670859955200 217 609 640 880 0 0
siyi1 2 1 1670859955209 1670859955205 218 609 630 860 0 0
siyi1 2 1 1670859955215 1670859955215 218 609 630 860 0 0
siyi1 2 1 1670859955221 1670859955220 218 609 620 860 0 0
siyi1 2 1 1670859955226 1670859955225 219 609 620 840 0 0
siyi1 2 1 1670859955232 1670859955230 219 609 620 840 0 0
siyi1 2 1 1670859955237 1670859955235 219 609 610 850 0 0
siyi1 2 1 1670859955243 1670859955240 219 609 610 850 0 0
siyi1 2 1 1670859955249 1670859955245 220 609 610 850 0 0
siyi1 2 1 1670859955254 1670859955250 220 609 600 850 0 0
siyi1 2 1 1670859955259 1670859955255 220 609 600 850 0 0
siyi1 2 1 1670859955265 1670859955265 220 610 600 830 0 0
siyi1 2 1 1670859955271 1670859955270 221 610 600 830 0 0
siyi1 2 1 1670859955276 1670859955275 221 610 600 830 0 0
siyi1 2 1 1670859955282 1670859955280 221 610 590 830 0 0
siyi1 2 1 1670859955287 1670859955285 222 610 590 830 0 0
siyi1 2 1 1670859955293 1670859955290 223 610 590 830 0 0
siyi1 2 1 1670859955299 1670859955295 223 610 590 830 0 0
siyi1 2 1 1670859955304 1670859955300 224 610 580 840 0 0
siyi1 2 1 1670859955309 1670859955305 225 610 580 840 0 0
siyi1 2 1 1670859955315 1670859955315 226 610 580 840 0 0
siyi1 2 1 1670859955321 1670859955320 226 610 580 840 0 0
siyi1 2 1 1670859955326 1670859955325 226 611 580 840 0 0
siyi1 2 1 1670859955333 1670859955330 226 611 580 840 0 0
siyi1 2 1 1670859955337 1670859955335 227 612 570 840 0 0
siyi1 2 1 1670859955343 1670859955340 228 612 570 840 0 0
siyi1 2 1 1670859955349 1670859955345 228 613 570 840 0 0
siyi1 2 1 1670859955354 1670859955350 228 613 570 840 0 0
siyi1 2 1 1670859955359 1670859955355 228 614 570 840 0 0
siyi1 2 1 1670859955365 1670859955365 228 615 570 840 0 0
siyi1 2 1 1670859955371 1670859955370 228 617 570 840 0 0
siyi1 2 1 1670859955376 1670859955375 228 618 570 840 0 0
siyi1 2 1 1670859955382 1670859955380 228 619 570 840 0 0
siyi1 2 1 1670859955387 1670859955385 228 619 560 840 0 0
siyi1 2 1 1670859955393 1670859955390 228 620 560 840 0 0
