UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
siyi1 1 1 1670859667174 1670859667170 228 518 670 680 0 0
siyi1 1 1 1670859667180 1670859667180 229 517 680 660 0 0
siyi1 1 1 1670859667185 1670859667185 230 516 680 660 0 0
siyi1 1 1 1670859667191 1670859667190 230 516 680 660 0 0
siyi1 1 1 1670859667196 1670859667195 232 514 680 660 0 0
siyi1 1 1 1670859667202 1670859667200 234 513 680 700 0 0
siyi1 1 1 1670859667207 1670859667205 235 513 680 700 0 0
siyi1 1 1 1670859667214 1670859667210 237 510 680 700 0 0
siyi1 1 1 1670859667219 1670859667215 237 509 680 720 0 0
siyi1 1 1 1670859667225 1670859667225 239 509 680 720 0 0
siyi1 1 1 1670859667230 1670859667230 239 509 680 720 0 0
siyi1 1 1 1670859667235 1670859667235 240 509 680 750 0 0
siyi1 1 1 1670859667240 1670859667240 240 509 680 750 0 0
siyi1 1 1 1670859667246 1670859667245 241 508 690 770 0 0
siyi1 1 1 1670859667252 1670859667250 242 507 690 770 0 0
siyi1 1 1 1670859667257 1670859667255 242 507 690 770 0 0
siyi1 1 1 1670859667264 1670859667260 243 507 690 770 0 0
siyi1 1 1 1670859667268 1670859667265 244 507 690 770 0 0
siyi1 1 1 1670859667274 1670859667270 245 507 690 770 0 0
siyi1 1 1 1670859667280 1670859667280 245 506 690 770 0 0
siyi1 1 1 1670859667285 1670859667285 246 506 690 800 0 0
siyi1 1 1 1670859667291 1670859667290 247 505 690 800 0 0
siyi1 1 1 1670859667297 1670859667295 248 505 690 800 0 0
siyi1 1 1 1670859667302 1670859667300 248 504 700 790 0 0
siyi1 1 1 1670859667307 1670859667305 248 503 700 790 0 0
siyi1 1 1 1670859667313 1670859667310 249 503 700 790 0 0
siyi1 1 1 1670859667318 1670859667315 249 503 700 820 0 0
siyi1 1 1 1670859667324 1670859667320 250 502 700 820 0 0
siyi1 1 1 1670859667330 1670859667330 250 501 700 820 0 0
siyi1 1 1 1670859667335 1670859667335 250 501 700 820 0 0
siyi1 1 1 1670859667340 1670859667340 250 501 700 820 0 0
siyi1 1 1 1670859667346 1670859667345 251 502 700 820 0 0
siyi1 1 1 1670859667352 1670859667350 251 504 700 820 0 0
siyi1 1 1 1670859667357 1670859667355 252 506 700 820 0 0
siyi1 1 1 1670859667363 1670859667360 253 508 710 810 0 0
siyi1 1 1 1670859667369 1670859667365 253 510 710 810 0 0
siyi1 1 1 1670859667374 1670859667370 253 511 710 810 0 0
siyi1 1 1 1670859667380 1670859667380 254 512 710 790 0 0
siyi1 1 1 1670859667385 1670859667385 254 512 710 790 0 0
siyi1 1 1 1670859667390 1670859667390 254 511 710 790 0 0
siyi1 1 1 1670859667397 1670859667395 254 511 700 790 0 0
siyi1 1 1 1670859667402 1670859667400 254 511 710 790 0 0
siyi1 1 1 1670859667408 1670859667405 255 511 700 760 0 0
siyi1 1 1 1670859667413 1670859667410 255 512 700 760 0 0
siyi1 1 1 1670859667418 1670859667415 255 512 700 760 0 0
siyi1 1 1 1670859667424 1670859667420 255 512 700 760 0 0
siyi1 1 1 1670859667431 1670859667430 255 512 710 790 0 0
siyi1 1 1 1670859667435 1670859667435 255 512 710 790 0 0
siyi1 1 1 1670859667440 1670859667440 255 511 710 790 0 0
siyi1 1 1 1670859667447 1670859667445 255 511 710 790 0 0
siyi1 1 1 1670859667452 1670859667450 255 511 710 790 0 0
siyi1 1 1 1670859667457 1670859667455 255 510 710 790 0 0
siyi1 1 1 1670859667463 1670859667460 255 510 700 790 0 0
siyi1 1 1 1670859667468 1670859667465 255 510 700 790 0 0
siyi1 1 1 1670859667474 1670859667470 254 509 700 790 0 0
siyi1 1 1 1670859667481 1670859667480 254 509 700 790 0 0
siyi1 1 1 1670859667485 1670859667485 253 509 700 790 0 0
siyi1 1 1 1670859667490 1670859667490 253 508 690 800 0 0
siyi1 1 1 1670859667497 1670859667495 253 508 690 800 0 0
siyi1 1 1 1670859667503 1670859667500 252 508 690 820 0 0
siyi1 1 1 1670859667507 1670859667505 252 507 690 820 0 0
siyi1 1 1 1670859667513 1670859667510 252 506 690 820 0 0
siyi1 1 1 1670859667520 1670859667520 252 506 690 820 0 0
siyi1 1 1 1670859667524 1670859667520 252 505 690 820 0 0
siyi1 1 1 1670859667530 1670859667530 252 505 690 820 0 0
siyi1 1 1 1670859667535 1670859667535 252 504 690 820 0 0
siyi1 1 1 1670859667541 1670859667540 252 504 690 820 0 0
siyi1 1 1 1670859667547 1670859667545 252 503 690 820 0 0
siyi1 1 1 1670859667552 1670859667550 252 502 690 820 0 0
siyi1 1 1 1670859667558 1670859667555 252 501 690 820 0 0
siyi1 1 1 1670859667563 1670859667560 252 501 690 820 0 0
siyi1 1 1 1670859667568 1670859667565 252 500 690 820 0 0
siyi1 1 1 1670859667574 1670859667570 252 499 690 820 0 0
siyi1 1 1 1670859667580 1670859667580 252 499 690 820 0 0
siyi1 1 1 1670859667585 1670859667585 251 499 690 820 0 0
siyi1 1 1 1670859667590 1670859667590 251 499 690 820 0 0
siyi1 1 1 1670859667597 1670859667595 251 499 690 820 0 0
siyi1 1 1 1670859667603 1670859667600 250 498 690 850 0 0
siyi1 1 1 1670859667608 1670859667605 250 498 690 850 0 0
siyi1 1 1 1670859667613 1670859667610 250 498 690 850 0 0
siyi1 1 1 1670859667618 1670859667615 249 498 690 850 0 0
siyi1 1 1 1670859667624 1670859667620 249 497 680 850 0 0
siyi1 1 1 1670859667630 1670859667630 248 497 680 850 0 0
siyi1 1 1 1670859667635 1670859667635 248 497 680 850 0 0
siyi1 1 1 1670859667640 1670859667640 248 496 680 850 0 0
siyi1 1 1 1670859667647 1670859667645 248 496 680 850 0 0
siyi1 1 1 1670859667653 1670859667650 247 496 680 850 0 0
siyi1 1 1 1670859667657 1670859667655 247 495 680 850 0 0
siyi1 1 1 1670859667663 1670859667660 247 495 680 850 0 0
siyi1 1 1 1670859667669 1670859667665 246 495 680 850 0 0
siyi1 1 1 1670859667674 1670859667670 246 495 680 850 0 0
siyi1 1 1 1670859667680 1670859667680 246 495 680 850 0 0
siyi1 1 1 1670859667685 1670859667685 246 495 680 850 0 0
siyi1 1 1 1670859667691 1670859667690 245 495 680 850 0 0
siyi1 1 1 1670859667696 1670859667695 245 495 680 850 0 0
siyi1 1 1 1670859667703 1670859667700 245 496 680 850 0 0
siyi1 1 1 1670859667707 1670859667705 245 496 670 850 0 0
siyi1 1 1 1670859667714 1670859667710 244 497 670 850 0 0
siyi1 1 1 1670859667718 1670859667715 244 497 670 850 0 0
siyi1 1 1 1670859667724 1670859667720 244 498 670 850 0 0
siyi1 1 1 1670859667730 1670859667730 244 498 670 850 0 0
siyi1 1 1 1670859667735 1670859667735 243 498 670 850 0 0
siyi1 1 1 1670859667740 1670859667740 243 499 670 850 0 0
siyi1 1 1 1670859667747 1670859667745 243 499 670 850 0 0
siyi1 1 1 1670859667752 1670859667750 243 500 670 850 0 0
siyi1 1 1 1670859667757 1670859667755 243 500 670 850 0 0
siyi1 1 1 1670859667763 1670859667760 243 500 660 860 0 0
siyi1 1 1 1670859667768 1670859667765 243 501 660 860 0 0
siyi1 1 1 1670859667774 1670859667770 243 501 660 860 0 0
siyi1 1 1 1670859667780 1670859667780 242 502 660 860 0 0
siyi1 1 1 1670859667785 1670859667785 242 502 660 830 0 0
siyi1 1 1 1670859667790 1670859667790 242 502 660 830 0 0
siyi1 1 1 1670859667797 1670859667795 242 503 660 830 0 0
siyi1 1 1 1670859667802 1670859667800 242 504 660 830 0 0
siyi1 1 1 1670859667807 1670859667805 242 505 660 830 0 0
siyi1 1 1 1670859667813 1670859667810 243 507 660 830 0 0
siyi1 1 1 1670859667819 1670859667815 243 510 660 830 0 0
siyi1 1 1 1670859667825 1670859667825 243 513 660 810 0 0
siyi1 1 1 1670859667830 1670859667830 244 516 660 810 0 0
siyi1 1 1 1670859667835 1670859667835 245 520 670 810 0 0
siyi1 1 1 1670859667840 1670859667840 247 523 670 780 0 0
siyi1 1 1 1670859667847 1670859667845 248 526 670 780 0 0
siyi1 1 1 1670859667853 1670859667850 249 528 670 780 0 0
siyi1 1 1 1670859667857 1670859667855 249 530 660 760 0 0
siyi1 1 1 1670859667863 1670859667860 250 532 660 760 0 0
siyi1 1 1 1670859667868 1670859667865 251 533 670 750 0 0
siyi1 1 1 1670859667874 1670859667870 252 534 670 750 0 0
siyi1 1 1 1670859667881 1670859667880 254 535 670 750 0 0
siyi1 1 1 1670859667885 1670859667885 254 536 670 750 0 0
siyi1 1 1 1670859667890 1670859667890 254 537 680 750 0 0
siyi1 1 1 1670859667896 1670859667895 256 538 680 750 0 0
siyi1 1 1 1670859667902 1670859667900 257 540 680 750 0 0
siyi1 1 1 1670859667907 1670859667905 259 542 690 740 0 0
siyi1 1 1 1670859667913 1670859667910 260 544 690 740 0 0
siyi1 1 1 1670859667918 1670859667915 261 547 690 740 0 0
siyi1 1 1 1670859667924 1670859667920 263 550 690 740 0 0
siyi1 1 1 1670859667930 1670859667930 264 553 700 730 0 0
siyi1 1 1 1670859667935 1670859667935 266 556 700 730 0 0
siyi1 1 1 1670859667940 1670859667940 267 558 700 730 0 0
siyi1 1 1 1670859667946 1670859667945 268 560 710 720 0 0
siyi1 1 1 1670859667952 1670859667950 269 562 710 720 0 0
siyi1 1 1 1670859667957 1670859667955 270 564 710 720 0 0
siyi1 1 1 1670859667963 1670859667960 271 565 710 690 0 0
siyi1 1 1 1670859667969 1670859667965 272 565 720 680 0 0
siyi1 1 1 1670859667974 1670859667970 272 564 720 680 0 0
siyi1 1 1 1670859667980 1670859667980 273 564 720 680 0 0
siyi1 1 1 1670859667985 1670859667985 273 564 720 680 0 0
siyi1 1 1 1670859667990 1670859667990 273 565 720 680 0 0
siyi1 1 1 1670859667997 1670859667995 274 565 720 680 0 0
siyi1 1 1 1670859668002 1670859668000 274 565 720 680 0 0
siyi1 1 1 1670859668007 1670859668005 274 564 730 670 0 0
siyi1 1 1 1670859668013 1670859668010 275 563 730 670 0 0
siyi1 1 1 1670859668019 1670859668015 275 561 730 670 0 0
siyi1 1 1 1670859668024 1670859668020 275 561 730 670 0 0
siyi1 1 1 1670859668030 1670859668030 276 561 730 670 0 0
siyi1 1 1 1670859668035 1670859668035 276 561 730 670 0 0
siyi1 1 1 1670859668040 1670859668040 276 561 730 670 0 0
siyi1 1 1 1670859668048 1670859668045 277 561 730 670 0 0
siyi1 1 1 1670859668053 1670859668050 277 561 730 670 0 0
siyi1 1 1 1670859668058 1670859668055 278 562 730 670 0 0
siyi1 1 1 1670859668063 1670859668060 278 563 730 670 0 0
siyi1 1 1 1670859668069 1670859668065 278 563 730 670 0 0
siyi1 1 1 1670859668074 1670859668070 279 563 730 670 0 0
siyi1 1 1 1670859668080 1670859668080 279 563 730 670 0 0
siyi1 1 1 1670859668085 1670859668085 280 563 730 670 0 0
siyi1 1 1 1670859668090 1670859668090 281 564 730 670 0 0
siyi1 1 1 1670859668097 1670859668095 281 564 730 670 0 0
siyi1 1 1 1670859668102 1670859668100 282 564 730 670 0 0
siyi1 1 1 1670859668107 1670859668105 282 564 730 670 0 0
siyi1 1 1 1670859668114 1670859668110 282 564 730 670 0 0
siyi1 1 1 1670859668119 1670859668115 283 564 730 670 0 0
siyi1 1 1 1670859668124 1670859668120 283 563 730 670 0 0
siyi1 1 1 1670859668130 1670859668130 284 563 730 670 0 0
siyi1 1 1 1670859668135 1670859668135 284 563 730 670 0 0
siyi1 1 1 1670859668140 1670859668140 284 562 730 670 0 0
siyi1 1 1 1670859668147 1670859668145 284 561 730 670 0 0
siyi1 1 1 1670859668152 1670859668150 284 560 730 670 0 0
siyi1 1 1 1670859668157 1670859668155 284 559 730 670 0 0
siyi1 1 1 1670859668163 1670859668160 284 559 730 670 0 0
siyi1 1 1 1670859668168 1670859668165 283 559 730 670 0 0
siyi1 1 1 1670859668175 1670859668175 283 558 730 670 0 0
siyi1 1 1 1670859668180 1670859668180 283 557 730 670 0 0
siyi1 1 1 1670859668185 1670859668185 282 556 730 670 0 0
siyi1 1 1 1670859668190 1670859668190 282 554 730 670 0 0
siyi1 1 1 1670859668197 1670859668195 281 552 730 670 0 0
siyi1 1 1 1670859668202 1670859668200 281 549 730 670 0 0
siyi1 1 1 1670859668207 1670859668205 280 546 730 670 0 0
siyi1 1 1 1670859668213 1670859668210 280 544 730 670 0 0
siyi1 1 1 1670859668218 1670859668215 279 542 730 670 0 0
siyi1 1 1 1670859668224 1670859668220 279 540 720 680 0 0
siyi1 1 1 1670859668230 1670859668230 278 538 720 680 0 0
siyi1 1 1 1670859668236 1670859668235 278 538 720 680 0 0
siyi1 1 1 1670859668240 1670859668240 278 538 720 680 0 0
siyi1 1 1 1670859668247 1670859668245 277 538 720 680 0 0
siyi1 1 1 1670859668252 1670859668250 277 538 720 680 0 0
siyi1 1 1 1670859668258 1670859668255 277 538 720 680 0 0
siyi1 1 1 1670859668264 1670859668260 276 537 720 680 0 0
siyi1 1 1 1670859668269 1670859668265 276 537 720 680 0 0
siyi1 1 1 1670859668274 1670859668270 275 536 720 680 0 0
siyi1 1 1 1670859668280 1670859668280 275 536 720 680 0 0
siyi1 1 1 1670859668285 1670859668285 275 536 720 680 0 0
siyi1 1 1 1670859668290 1670859668290 274 536 720 680 0 0
siyi1 1 1 1670859668297 1670859668295 274 535 720 680 0 0
siyi1 1 1 1670859668302 1670859668300 274 535 720 680 0 0
siyi1 1 1 1670859668307 1670859668305 273 534 720 680 0 0
siyi1 1 1 1670859668313 1670859668310 273 534 720 680 0 0
siyi1 1 1 1670859668318 1670859668315 272 534 720 680 0 0
siyi1 1 1 1670859668324 1670859668320 272 533 720 680 0 0
siyi1 1 1 1670859668330 1670859668330 271 533 720 680 0 0
siyi1 1 1 1670859668335 1670859668335 270 532 720 680 0 0
siyi1 1 1 1670859668340 1670859668340 269 532 720 680 0 0
siyi1 1 1 1670859668346 1670859668345 268 532 720 680 0 0
siyi1 1 1 1670859668352 1670859668350 267 531 720 680 0 0
siyi1 1 1 1670859668357 1670859668355 267 531 720 680 0 0
siyi1 1 1 1670859668363 1670859668360 265 531 720 680 0 0
siyi1 1 1 1670859668368 1670859668365 264 530 710 690 0 0
siyi1 1 1 1670859668374 1670859668370 264 530 710 690 0 0
siyi1 1 1 1670859668380 1670859668380 262 530 710 690 0 0
siyi1 1 1 1670859668385 1670859668385 261 530 710 690 0 0
siyi1 1 1 1670859668390 1670859668390 260 530 710 690 0 0
siyi1 1 1 1670859668396 1670859668395 260 531 700 700 0 0
siyi1 1 1 1670859668402 1670859668400 259 531 700 700 0 0
siyi1 1 1 1670859668407 1670859668405 259 531 700 700 0 0
siyi1 1 1 1670859668413 1670859668410 258 531 700 700 0 0
siyi1 1 1 1670859668419 1670859668415 258 531 700 700 0 0
siyi1 1 1 1670859668424 1670859668420 257 532 700 700 0 0
siyi1 1 1 1670859668431 1670859668430 256 532 700 700 0 0
siyi1 1 1 1670859668436 1670859668435 255 532 700 700 0 0
siyi1 1 1 1670859668440 1670859668440 254 531 700 700 0 0
siyi1 1 1 1670859668447 1670859668445 253 530 690 710 0 0
siyi1 1 1 1670859668453 1670859668450 252 528 690 710 0 0
siyi1 1 1 1670859668457 1670859668455 251 527 690 710 0 0
siyi1 1 1 1670859668463 1670859668460 251 526 690 710 0 0
siyi1 1 1 1670859668468 1670859668465 250 525 690 710 0 0
siyi1 1 1 1670859668474 1670859668470 249 524 690 710 0 0
siyi1 1 1 1670859668480 1670859668480 248 523 680 720 0 0
siyi1 1 1 1670859668485 1670859668485 246 522 680 720 0 0
siyi1 1 1 1670859668490 1670859668490 245 521 680 720 0 0
siyi1 1 1 1670859668496 1670859668495 244 520 680 720 0 0
siyi1 1 1 1670859668502 1670859668500 243 519 670 730 0 0
siyi1 1 1 1670859668507 1670859668505 241 518 670 730 0 0
siyi1 1 1 1670859668514 1670859668510 240 518 670 730 0 0
siyi1 1 1 1670859668518 1670859668515 239 518 670 730 0 0
siyi1 1 1 1670859668524 1670859668520 238 517 670 730 0 0
siyi1 1 1 1670859668531 1670859668530 237 516 670 730 0 0
siyi1 1 1 1670859668535 1670859668535 236 515 660 740 0 0
siyi1 1 1 1670859668540 1670859668540 235 515 660 740 0 0
siyi1 1 1 1670859668546 1670859668545 234 514 660 740 0 0
siyi1 1 1 1670859668552 1670859668550 232 513 660 740 0 0
siyi1 1 1 1670859668557 1670859668555 231 512 660 740 0 0
siyi1 1 1 1670859668563 1670859668560 229 511 660 740 0 0
siyi1 1 1 1670859668569 1670859668565 228 509 660 760 0 0
siyi1 1 1 1670859668574 1670859668570 227 509 660 760 0 0
siyi1 1 1 1670859668580 1670859668580 226 508 660 760 0 0
siyi1 1 1 1670859668585 1670859668585 225 508 660 760 0 0
siyi1 1 1 1670859668590 1670859668590 224 508 660 760 0 0
siyi1 1 1 1670859668596 1670859668595 223 507 660 760 0 0
siyi1 1 1 1670859668602 1670859668600 222 507 660 760 0 0
siyi1 1 1 1670859668607 1670859668605 221 506 670 780 0 0
siyi1 1 1 1670859668613 1670859668610 221 505 670 780 0 0
siyi1 1 1 1670859668618 1670859668615 220 505 670 780 0 0
siyi1 1 1 1670859668625 1670859668625 219 504 670 780 0 0
siyi1 1 1 1670859668631 1670859668630 219 503 670 780 0 0
siyi1 1 1 1670859668635 1670859668635 218 503 670 780 0 0
siyi1 1 1 1670859668640 1670859668640 217 503 670 780 0 0
siyi1 1 1 1670859668646 1670859668645 217 503 670 810 0 0
siyi1 1 1 1670859668653 1670859668650 216 503 680 800 0 0
siyi1 1 1 1670859668657 1670859668655 215 503 680 800 0 0
siyi1 1 1 1670859668663 1670859668660 215 502 680 800 0 0
siyi1 1 1 1670859668668 1670859668665 215 502 690 800 0 0
siyi1 1 1 1670859668674 1670859668670 215 502 690 800 0 0
siyi1 1 1 1670859668680 1670859668680 215 501 690 800 0 0
siyi1 1 1 1670859668685 1670859668685 214 500 700 790 0 0
siyi1 1 1 1670859668691 1670859668690 214 499 700 790 0 0
siyi1 1 1 1670859668697 1670859668695 214 498 700 790 0 0
siyi1 1 1 1670859668702 1670859668700 213 498 700 790 0 0
siyi1 1 1 1670859668707 1670859668705 213 497 700 790 0 0
siyi1 1 1 1670859668713 1670859668710 213 496 700 790 0 0
siyi1 1 1 1670859668719 1670859668715 213 496 700 790 0 0
siyi1 1 1 1670859668724 1670859668720 213 495 700 820 0 0
siyi1 1 1 1670859668730 1670859668730 213 495 700 820 0 0
siyi1 1 1 1670859668735 1670859668735 212 494 700 820 0 0
siyi1 1 1 1670859668740 1670859668740 212 494 700 820 0 0
siyi1 1 1 1670859668747 1670859668745 212 494 700 820 0 0
siyi1 1 1 1670859668752 1670859668750 212 494 700 820 0 0
siyi1 1 1 1670859668757 1670859668755 212 494 700 820 0 0
siyi1 1 1 1670859668763 1670859668760 212 494 700 820 0 0
siyi1 1 1 1670859668768 1670859668765 212 494 700 820 0 0
siyi1 1 1 1670859668774 1670859668770 212 494 700 820 0 0
siyi1 1 1 1670859668780 1670859668780 213 495 700 820 0 0
siyi1 1 1 1670859668785 1670859668785 214 495 700 820 0 0
siyi1 1 1 1670859668790 1670859668790 214 495 690 800 0 0
siyi1 1 1 1670859668802 1670859668800 215 494 690 800 0 0
siyi1 1 1 1670859668803 1670859668800 216 494 690 800 0 0
siyi1 1 1 1670859668807 1670859668805 216 493 690 800 0 0
siyi1 1 1 1670859668813 1670859668810 216 493 680 800 0 187
siyi1 1 1 1670859668818 1670859668815 216 493 680 800 0 187
siyi1 1 1 1670859668824 1670859668820 216 493 680 800 0 199
siyi1 1 1 1670859668830 1670859668830 216 493 680 800 0 216
siyi1 1 1 1670859668835 1670859668835 216 493 670 810 0 240
siyi1 1 1 1670859668840 1670859668840 216 493 670 810 0 275
siyi1 1 1 1670859668847 1670859668845 216 493 670 810 0 313
siyi1 1 1 1670859668852 1670859668850 216 493 670 810 0 335
siyi1 1 1 1670859668857 1670859668855 216 493 670 810 0 362
siyi1 1 1 1670859668863 1670859668860 224 493 670 810 0 387
siyi1 1 1 1670859668870 1670859668870 225 494 670 810 0 405
siyi1 1 1 1670859668875 1670859668875 227 494 670 810 0 424
siyi1 1 1 1670859668880 1670859668880 228 495 670 810 0 441
siyi1 1 1 1670859668885 1670859668885 230 495 670 810 0 454
siyi1 1 1 1670859668890 1670859668890 232 496 670 810 0 465
siyi1 1 1 1670859668896 1670859668895 234 496 670 810 0 474
siyi1 1 1 1670859668903 1670859668900 236 496 670 810 0 481
siyi1 1 1 1670859668907 1670859668905 238 496 670 810 0 482
siyi1 1 1 1670859668913 1670859668910 240 496 670 810 0 490
siyi1 1 1 1670859668919 1670859668915 243 495 670 810 0 500
siyi1 1 1 1670859668924 1670859668920 246 494 670 810 0 507
siyi1 1 1 1670859668930 1670859668930 248 493 670 810 0 512
siyi1 1 1 1670859668935 1670859668935 251 492 670 810 0 518
siyi1 1 1 1670859668940 1670859668940 253 491 670 810 0 523
siyi1 1 1 1670859668947 1670859668945 255 491 670 810 0 525
siyi1 1 1 1670859668952 1670859668950 257 490 670 810 0 530
siyi1 1 1 1670859668957 1670859668955 258 490 670 810 0 535
siyi1 1 1 1670859668963 1670859668960 259 489 670 810 0 538
siyi1 1 1 1670859668968 1670859668965 260 489 670 810 0 542
siyi1 1 1 1670859668977 1670859668975 261 488 670 810 0 546
siyi1 1 1 1670859668980 1670859668980 262 488 670 810 0 550
siyi1 1 1 1670859668986 1670859668985 263 487 670 810 0 554
siyi1 1 1 1670859668991 1670859668990 263 487 670 810 0 556
siyi1 1 1 1670859668996 1670859668995 264 486 670 810 0 557
siyi1 1 1 1670859669002 1670859669000 264 486 670 810 0 560
siyi1 1 1 1670859669007 1670859669005 264 486 670 810 0 562
siyi1 1 1 1670859669013 1670859669010 264 486 670 810 0 563
siyi1 1 1 1670859669018 1670859669015 264 486 670 810 0 565
siyi1 1 1 1670859669024 1670859669020 264 486 670 810 0 565
siyi1 1 1 1670859669030 1670859669030 264 486 670 810 0 565
siyi1 1 1 1670859669035 1670859669035 264 486 680 800 0 565
siyi1 1 1 1670859669040 1670859669040 264 486 680 800 0 565
siyi1 1 1 1670859669046 1670859669045 264 486 680 800 0 535
siyi1 1 1 1670859669052 1670859669050 263 486 680 800 0 497
siyi1 1 1 1670859669057 1670859669055 263 486 680 800 0 441
siyi1 1 1 1670859669063 1670859669060 262 486 680 800 0 329
siyi1 1 1 1670859669069 1670859669065 261 486 680 800 0 202
siyi1 1 1 1670859669074 1670859669070 261 486 680 800 0 0
siyi1 1 1 1670859669081 1670859669080 261 486 680 800 0 0
siyi1 1 1 1670859669085 1670859669085 259 486 670 810 0 0
siyi1 1 1 1670859669090 1670859669090 258 486 670 810 0 0
siyi1 1 1 1670859669097 1670859669095 258 485 670 830 0 0
siyi1 1 1 1670859669103 1670859669100 257 485 670 830 0 0
siyi1 1 1 1670859669107 1670859669105 256 485 670 830 0 0
siyi1 1 1 1670859669113 1670859669110 256 485 670 830 0 0
siyi1 1 1 1670859669118 1670859669115 255 485 670 830 0 0
siyi1 1 1 1670859669124 1670859669120 254 484 670 830 0 0
siyi1 1 1 1670859669130 1670859669130 253 484 670 830 0 0
siyi1 1 1 1670859669135 1670859669135 252 484 670 830 0 0
siyi1 1 1 1670859669140 1670859669140 250 483 670 830 0 0
