UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
siyi2 4 1 1670860390436 1670860390435 275 622 820 70 0 0
siyi2 4 1 1670860390441 1670860390440 274 624 820 70 0 0
siyi2 4 1 1670860390446 1670860390445 274 626 820 0 0 0
siyi2 4 1 1670860390452 1670860390450 273 626 820 0 0 0
siyi2 4 1 1670860390457 1670860390455 273 628 820 0 0 0
siyi2 4 1 1670860390463 1670860390460 273 630 820 0 0 0
siyi2 4 1 1670860390469 1670860390465 272 629 820 0 0 0
siyi2 4 1 1670860390474 1670860390470 272 631 820 0 0 0
siyi2 4 1 1670860390480 1670860390480 271 631 820 0 0 0
siyi2 4 1 1670860390485 1670860390485 271 630 820 0 0 0
siyi2 4 1 1670860390492 1670860390490 271 630 820 0 0 0
siyi2 4 1 1670860390497 1670860390495 271 630 820 0 0 0
siyi2 4 1 1670860390502 1670860390500 271 630 820 0 0 0
siyi2 4 1 1670860390507 1670860390505 271 630 820 0 0 0
siyi2 4 1 1670860390513 1670860390510 271 631 820 3530 0 0
siyi2 4 1 1670860390519 1670860390515 271 631 820 3530 0 0
siyi2 4 1 1670860390524 1670860390520 273 633 820 3530 0 0
siyi2 4 1 1670860390529 1670860390525 275 633 810 3540 0 0
siyi2 4 1 1670860390535 1670860390535 278 634 810 3540 0 0
siyi2 4 1 1670860390541 1670860390540 281 635 810 3540 0 0
siyi2 4 1 1670860390546 1670860390545 285 636 810 3540 0 0
siyi2 4 1 1670860390552 1670860390550 288 638 810 3540 0 0
siyi2 4 1 1670860390557 1670860390555 288 640 810 3540 0 0
siyi2 4 1 1670860390563 1670860390560 291 643 810 3540 0 0
siyi2 4 1 1670860390569 1670860390565 290 646 800 3540 0 0
siyi2 4 1 1670860390574 1670860390570 290 651 800 3540 0 0
siyi2 4 1 1670860390579 1670860390575 289 656 800 3540 0 0
siyi2 4 1 1670860390585 1670860390585 289 663 790 3550 0 0
siyi2 4 1 1670860390591 1670860390590 289 671 790 3550 0 0
siyi2 4 1 1670860390596 1670860390595 289 676 790 3550 0 0
siyi2 4 1 1670860390602 1670860390600 289 681 790 3550 0 0
siyi2 4 1 1670860390607 1670860390605 290 686 790 3550 0 0
siyi2 4 1 1670860390613 1670860390610 290 691 790 3550 0 0
siyi2 4 1 1670860390619 1670860390615 290 695 790 3550 0 0
siyi2 4 1 1670860390624 1670860390620 289 699 780 3550 0 0
siyi2 4 1 1670860390629 1670860390625 288 703 780 3510 0 0
siyi2 4 1 1670860390635 1670860390635 286 706 780 3510 0 0
siyi2 4 1 1670860390641 1670860390640 284 709 770 3510 0 0
siyi2 4 1 1670860390646 1670860390645 281 712 770 3510 0 0
siyi2 4 1 1670860390652 1670860390650 277 715 760 3560 0 0
siyi2 4 1 1670860390657 1670860390655 272 717 750 3560 0 0
siyi2 4 1 1670860390663 1670860390660 267 719 750 3560 0 0
siyi2 4 1 1670860390669 1670860390665 261 721 740 0 0 0
siyi2 4 1 1670860390674 1670860390670 255 721 740 0 0 0
siyi2 4 1 1670860390679 1670860390675 248 720 730 0 0 0
siyi2 4 1 1670860390685 1670860390685 243 722 730 30 0 0
siyi2 4 1 1670860390691 1670860390690 239 722 730 30 0 0
siyi2 4 1 1670860390697 1670860390695 234 724 720 60 0 0
siyi2 4 1 1670860390702 1670860390700 228 725 720 60 0 0
siyi2 4 1 1670860390707 1670860390705 224 728 720 60 0 0
siyi2 4 1 1670860390713 1670860390710 220 732 720 60 0 0
siyi2 4 1 1670860390719 1670860390715 216 738 720 30 0 0
siyi2 4 1 1670860390724 1670860390720 216 738 720 30 0 0
siyi2 4 1 1670860390729 1670860390725 216 738 720 30 0 0
siyi2 4 1 1670860390735 1670860390735 211 754 710 3350 0 0
siyi2 4 1 1670860390741 1670860390740 210 756 710 3330 0 0
siyi2 4 1 1670860390746 1670860390745 211 756 710 3300 0 0
siyi2 4 1 1670860390752 1670860390750 211 756 710 3300 0 0
siyi2 4 1 1670860390757 1670860390755 211 756 710 3300 0 0
siyi2 4 1 1670860390762 1670860390760 211 756 710 3300 0 0
siyi2 4 1 1670860390769 1670860390765 211 756 710 3300 0 0
siyi2 4 1 1670860390774 1670860390770 211 756 710 3300 0 0
siyi2 4 1 1670860390779 1670860390775 216 759 640 3090 0 0
siyi2 4 1 1670860390785 1670860390785 216 759 640 3090 0 0
siyi2 4 1 1670860390791 1670860390790 216 759 640 3090 0 0
siyi2 4 1 1670860390796 1670860390795 216 759 640 3090 0 0
siyi2 4 1 1670860390802 1670860390800 216 759 640 3090 0 0
siyi2 4 1 1670860390807 1670860390805 216 759 640 3090 0 0
siyi2 4 1 1670860390812 1670860390810 213 749 580 2950 0 0
siyi2 4 1 1670860390819 1670860390815 213 749 580 2950 0 0
siyi2 4 1 1670860390824 1670860390820 213 749 580 2950 0 0
siyi2 4 1 1670860390829 1670860390825 213 749 580 2950 0 0
siyi2 4 1 1670860390835 1670860390835 213 749 580 2950 0 0
siyi2 4 1 1670860390840 1670860390840 213 749 580 2950 0 0
siyi2 4 1 1670860390846 1670860390845 213 749 580 2950 0 0
siyi2 4 1 1670860390852 1670860390850 213 749 580 2950 0 0
siyi2 4 1 1670860390857 1670860390855 213 749 580 2950 0 0
siyi2 4 1 1670860390862 1670860390860 213 749 580 2950 0 0
siyi2 4 1 1670860390868 1670860390865 213 749 580 2950 0 0
siyi2 4 1 1670860390874 1670860390870 213 749 580 2950 0 0
siyi2 4 1 1670860390879 1670860390875 213 749 580 2950 0 0
siyi2 4 1 1670860390885 1670860390885 213 749 580 2950 0 0
siyi2 4 1 1670860390892 1670860390890 213 749 580 2950 0 0
siyi2 4 1 1670860390896 1670860390895 213 749 580 2950 0 0
siyi2 4 1 1670860390910 1670860390910 213 749 580 2950 0 0
siyi2 4 1 1670860390920 1670860390920 213 749 580 2950 0 0
siyi2 4 1 1670860390935 1670860390935 213 749 580 2950 0 0
siyi2 4 1 1670860390940 1670860390940 213 749 580 2950 0 0
siyi2 4 1 1670860390946 1670860390945 213 749 580 2950 0 0
siyi2 4 1 1670860390952 1670860390950 213 749 580 2950 0 0
siyi2 4 1 1670860390957 1670860390955 213 749 580 2950 0 0
siyi2 4 1 1670860390962 1670860390960 213 749 580 2950 0 0
siyi2 4 1 1670860390968 1670860390965 213 749 580 2950 0 0
siyi2 4 1 1670860390974 1670860390970 213 749 580 2950 0 0
siyi2 4 1 1670860390979 1670860390975 213 749 580 2950 0 0
siyi2 4 1 1670860390985 1670860390985 213 749 580 2950 0 0
siyi2 4 1 1670860390990 1670860390990 213 749 580 2950 0 0
siyi2 4 1 1670860390996 1670860390995 213 749 580 2950 0 0
siyi2 4 1 1670860391002 1670860391000 313 637 780 3290 0 0
siyi2 4 1 1670860391007 1670860391005 312 636 790 3340 0 0
siyi2 4 1 1670860391013 1670860391010 311 636 790 3340 0 0
siyi2 4 1 1670860391019 1670860391015 311 636 800 3310 0 0
siyi2 4 1 1670860391024 1670860391020 308 635 800 3360 0 0
siyi2 4 1 1670860391029 1670860391025 306 635 800 3360 0 0
siyi2 4 1 1670860391035 1670860391035 303 635 810 3420 0 0
siyi2 4 1 1670860391041 1670860391040 301 634 810 3420 0 0
siyi2 4 1 1670860391046 1670860391045 299 634 810 3400 0 0
