TimeStamps penX penY orAltitude orAzimuth orTwist pressure
1669004533790 841 868 870 450 0 0
1669004533791 842 872 870 450 0 0
1669004533800 842 874 870 450 0 0
1669004533805 841 875 860 560 0 0
1669004533810 839 876 860 630 0 0
1669004533816 836 876 840 720 0 0
1669004533821 833 877 830 740 0 0
1669004533826 832 878 820 760 0 0
1669004533833 832 879 810 780 0 0
1669004533838 831 880 800 730 0 0
1669004533843 831 880 790 750 0 0
1669004533850 830 881 780 760 0 0
1669004533855 830 881 770 770 0 0
1669004533860 830 881 760 780 0 0
1669004533866 830 881 740 800 0 0
1669004533872 830 881 730 800 0 0
1669004533876 831 880 720 810 0 0
1669004533882 831 879 710 790 0 0
1669004533889 832 878 700 790 0 0
1669004533894 833 877 690 800 0 0
1669004533899 833 876 680 830 0 0
1669004533905 834 876 670 830 0 0
1669004533910 835 874 660 830 0 0
1669004533916 835 873 650 840 0 0
1669004533921 836 873 650 840 0 0
1669004533926 837 871 640 840 0 0
1669004533934 839 870 630 860 0 0
1669004533938 839 867 630 860 0 0
1669004533944 840 864 620 860 0 0
1669004533949 841 860 620 860 0 0
1669004533956 842 855 620 860 0 0
1669004533960 843 849 610 860 0 0
1669004533967 843 846 610 880 0 0
1669004533971 843 842 610 880 0 0
1669004533976 844 840 600 880 0 0
1669004533982 843 837 600 880 0 0
1669004533988 842 835 600 880 0 0
1669004533993 840 835 590 880 0 0
1669004533999 836 835 590 880 0 0
1669004534006 833 835 590 900 0 0
1669004534011 829 833 590 900 0 0
1669004534016 827 832 590 900 0 0
1669004534021 824 832 590 900 0 0
1669004534026 822 831 590 900 0 0
1669004534033 820 830 590 900 0 0
1669004534039 819 830 590 900 0 0
1669004534043 817 829 590 900 0 0
1669004534049 817 828 590 900 0 0
1669004534056 816 828 590 900 0 0
1669004534060 815 827 590 920 0 0
1669004534067 815 827 590 920 0 0
1669004534071 815 827 590 920 0 0
1669004534077 814 827 590 920 0 0
1669004534083 814 827 590 920 0 0
1669004534089 814 827 590 930 0 0
1669004534093 814 827 590 930 0 0
1669004534099 815 827 580 930 0 0
1669004534104 816 827 580 930 0 0
1669004534117 818 826 580 930 0 0
1669004534118 818 825 580 930 0 0
1669004534121 818 824 580 930 0 0
1669004534127 818 824 580 950 0 237
1669004534133 818 824 580 950 0 237
1669004534138 818 824 580 950 0 290
1669004534143 818 824 580 950 0 299
