UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
weier2 3 1 1670861671155 1670861671155 1409 729 780 900 0 0
weier2 3 1 1670861671812 1670861671810 161 654 800 660 0 0
weier2 3 1 1670861671817 1670861671815 161 652 800 660 0 0
weier2 3 1 1670861671823 1670861671820 160 651 810 720 0 0
weier2 3 1 1670861671829 1670861671825 159 650 800 730 0 0
weier2 3 1 1670861671834 1670861671830 158 648 800 730 0 0
weier2 3 1 1670861671839 1670861671835 158 646 790 800 0 0
weier2 3 1 1670861671845 1670861671845 158 644 780 810 0 0
weier2 3 1 1670861671851 1670861671850 157 642 780 850 0 0
weier2 3 1 1670861671856 1670861671855 157 640 770 860 0 0
weier2 3 1 1670861671862 1670861671860 155 638 760 900 0 0
weier2 3 1 1670861671867 1670861671865 153 637 750 900 0 0
weier2 3 1 1670861671872 1670861671870 151 637 740 900 0 0
weier2 3 1 1670861671879 1670861671875 149 635 730 900 0 0
weier2 3 1 1670861671884 1670861671880 146 633 730 930 0 0
weier2 3 1 1670861671889 1670861671885 144 633 730 930 0 0
weier2 3 1 1670861671895 1670861671895 143 630 720 960 0 0
weier2 3 1 1670861671901 1670861671900 142 628 720 990 0 0
weier2 3 1 1670861671906 1670861671905 141 627 720 990 0 0
weier2 3 1 1670861671912 1670861671910 139 624 720 990 0 0
weier2 3 1 1670861671917 1670861671915 138 622 710 1010 0 0
weier2 3 1 1670861671923 1670861671920 137 620 710 1010 0 0
weier2 3 1 1670861671929 1670861671925 136 618 710 1010 0 0
weier2 3 1 1670861671934 1670861671930 135 616 700 1040 0 0
weier2 3 1 1670861671939 1670861671935 134 614 690 1040 0 0
weier2 3 1 1670861671945 1670861671945 133 612 690 1040 0 0
weier2 3 1 1670861671951 1670861671950 132 611 690 1060 0 0
weier2 3 1 1670861671956 1670861671955 131 609 680 1050 0 0
weier2 3 1 1670861671962 1670861671960 131 608 680 1050 0 0
weier2 3 1 1670861671967 1670861671965 130 607 670 1050 0 0
weier2 3 1 1670861671973 1670861671970 130 606 670 1050 0 0
weier2 3 1 1670861671979 1670861671975 130 605 670 1050 0 0
weier2 3 1 1670861671984 1670861671980 129 604 660 1040 0 0
weier2 3 1 1670861671989 1670861671985 129 603 660 1040 0 0
weier2 3 1 1670861671995 1670861671995 128 602 650 1030 0 0
weier2 3 1 1670861672001 1670861672000 127 601 650 1030 0 0
weier2 3 1 1670861672006 1670861672005 125 601 650 1030 0 0
weier2 3 1 1670861672012 1670861672010 124 600 640 1030 0 0
weier2 3 1 1670861672017 1670861672015 122 599 640 1030 0 0
weier2 3 1 1670861672023 1670861672020 121 599 640 1030 0 0
weier2 3 1 1670861672029 1670861672025 120 598 630 1020 0 0
weier2 3 1 1670861672034 1670861672030 119 598 630 1040 0 0
weier2 3 1 1670861672039 1670861672035 118 598 630 1040 0 0
weier2 3 1 1670861672045 1670861672045 117 597 630 1040 0 0
weier2 3 1 1670861672051 1670861672050 116 597 620 1040 0 0
weier2 3 1 1670861672056 1670861672055 114 596 620 1040 0 0
weier2 3 1 1670861672063 1670861672060 113 595 620 1040 0 0
weier2 3 1 1670861672067 1670861672065 113 594 620 1040 0 0
weier2 3 1 1670861672073 1670861672070 111 594 610 1030 0 0
weier2 3 1 1670861672079 1670861672075 111 593 610 1030 0 0
weier2 3 1 1670861672084 1670861672080 110 593 610 1050 0 0
weier2 3 1 1670861672089 1670861672085 109 593 600 1040 0 0
weier2 3 1 1670861672095 1670861672095 108 592 600 1040 0 0
weier2 3 1 1670861672101 1670861672100 107 592 590 1040 0 0
