UserAttempt Posture Score TimeStamps MergeTimeStamps penX penY orAltitude orAzimuth orTwist pressure
weier2 4 1 1670861885674 1670861885670 113 546 740 100 0 0
weier2 4 1 1670861885680 1670861885680 113 545 740 100 0 0
weier2 4 1 1670861885685 1670861885685 113 545 740 70 0 0
weier2 4 1 1670861885691 1670861885690 113 545 740 70 0 0
weier2 4 1 1670861885697 1670861885695 112 545 740 70 0 0
weier2 4 1 1670861885702 1670861885700 112 546 740 70 0 0
weier2 4 1 1670861885707 1670861885705 111 546 740 70 0 0
weier2 4 1 1670861885714 1670861885710 111 547 740 70 0 0
weier2 4 1 1670861885719 1670861885715 110 549 740 70 0 0
weier2 4 1 1670861885724 1670861885720 110 551 740 70 0 0
weier2 4 1 1670861885730 1670861885730 110 552 740 70 0 0
weier2 4 1 1670861885736 1670861885735 109 552 740 100 0 0
weier2 4 1 1670861885741 1670861885740 109 552 740 100 0 0
weier2 4 1 1670861885747 1670861885745 108 554 750 150 0 0
weier2 4 1 1670861885752 1670861885750 107 555 740 180 0 0
weier2 4 1 1670861885758 1670861885755 106 555 740 180 0 0
weier2 4 1 1670861885763 1670861885760 105 555 740 180 0 0
weier2 4 1 1670861885769 1670861885765 104 556 740 210 0 0
weier2 4 1 1670861885774 1670861885770 104 556 740 210 0 0
weier2 4 1 1670861885780 1670861885780 103 556 740 210 0 0
weier2 4 1 1670861885785 1670861885785 102 557 740 250 0 0
weier2 4 1 1670861885791 1670861885790 102 557 740 250 0 0
weier2 4 1 1670861885797 1670861885795 102 558 740 250 0 0
weier2 4 1 1670861885802 1670861885800 102 558 740 290 0 0
weier2 4 1 1670861885807 1670861885805 102 558 740 290 0 0
weier2 4 1 1670861885814 1670861885810 104 558 740 290 0 0
weier2 4 1 1670861885819 1670861885815 105 558 740 290 0 0
weier2 4 1 1670861885824 1670861885820 107 559 740 290 0 0
weier2 4 1 1670861885830 1670861885830 109 559 740 290 0 0
weier2 4 1 1670861885836 1670861885835 110 559 740 290 0 0
weier2 4 1 1670861885841 1670861885840 112 559 740 290 0 0
weier2 4 1 1670861885847 1670861885845 113 559 740 290 0 0
weier2 4 1 1670861885852 1670861885850 114 559 740 260 0 0
weier2 4 1 1670861885857 1670861885855 116 559 740 260 0 0
